chamado_id,cliente_id,data_abertura,duracao_min,categoria,resolvido
CHA-00041,CLI-0016,2026-04-26,194,conexão,true
CHA-00042,CLI-0016,2025-07-11,127,financeiro,true
CHA-00043,CLI-0018,2025-09-07,20,conexão,true
CHA-00044,CLI-0018,2026-06-24,214,conexão,true
CHA-00045,CLI-0018,2026-01-02,40,financeiro,true
CHA-00046,CLI-0018,2026-05-16,7,financeiro,true
CHA-00047,CLI-0019,2026-03-30,183,financeiro,true
CHA-00048,CLI-0019,2026-06-21,172,conexão,true
CHA-00049,CLI-0019,2026-01-19,101,equipamento,true
CHA-00050,CLI-0019,2026-07-28,184,financeiro,true
CHA-00051,CLI-0019,2025-12-22,170,instalação,true
CHA-00052,CLI-0019,2026-06-14,234,conexão,true
CHA-00053,CLI-0019,2025-08-12,232,equipamento,true
CHA-00054,CLI-0020,2026-02-08,159,equipamento,false
CHA-00055,CLI-0020,2026-02-15,12,instalação,true
CHA-00056,CLI-0020,2025-12-14,130,financeiro,true
CHA-00057,CLI-0020,2026-01-21,115,financeiro,true
CHA-00058,CLI-0020,2025-08-28,102,conexão,true
CHA-00059,CLI-0022,2026-01-19,210,instalação,true
CHA-00060,CLI-0022,2025-12-24,213,financeiro,true
CHA-00061,CLI-0022,2025-09-27,182,financeiro,true
CHA-00062,CLI-0022,2026-05-03,106,instalação,true
CHA-00063,CLI-0023,2025-11-01,134,equipamento,true
CHA-00064,CLI-0024,2026-01-22,105,equipamento,true
CHA-00065,CLI-0024,2025-10-04,181,financeiro,true
CHA-00066,CLI-0025,2025-12-01,29,equipamento,true
CHA-00067,CLI-0025,2025-12-13,86,conexão,true
CHA-00068,CLI-0025,2025-06-13,186,conexão,true
CHA-00069,CLI-0025,2026-02-07,170,conexão,true
CHA-00070,CLI-0025,2026-05-09,194,financeiro,true
CHA-00071,CLI-0026,2025-09-30,104,equipamento,true
CHA-00072,CLI-0027,2026-04-24,213,equipamento,false
CHA-00073,CLI-0027,2025-11-16,172,equipamento,true
CHA-00074,CLI-0027,2025-11-23,111,equipamento,true
CHA-00075,CLI-0027,2026-06-20,149,conexão,true
CHA-00076,CLI-0027,2026-04-11,79,conexão,true
CHA-00077,CLI-0027,2025-10-30,78,financeiro,true
CHA-00078,CLI-0027,2025-10-16,195,equipamento,true
CHA-00079,CLI-0028,2025-06-11,57,conexão,true
CHA-00080,CLI-0028,2025-11-02,76,financeiro,true
CHA-00081,CLI-0028,2025-08-06,79,instalação,true
CHA-00082,CLI-0028,2025-11-11,235,conexão,true
CHA-00083,CLI-0028,2025-07-13,206,equipamento,false
CHA-00084,CLI-0028,2026-03-13,226,financeiro,true
CHA-00085,CLI-0029,2025-10-25,152,financeiro,true
CHA-00086,CLI-0029,2025-11-26,206,instalação,true
CHA-00087,CLI-0029,2025-07-07,17,conexão,true
CHA-00088,CLI-0030,2026-04-08,137,equipamento,true
CHA-00089,CLI-0030,2025-08-10,92,conexão,false
CHA-00090,CLI-0030,2025-12-28,182,financeiro,true
CHA-00091,CLI-0030,2026-04-06,103,conexão,true
CHA-00092,CLI-0031,2025-07-28,160,instalação,true
CHA-00093,CLI-0031,2025-08-13,11,instalação,true
CHA-00094,CLI-0031,2025-09-25,135,financeiro,true
CHA-00095,CLI-0031,2026-03-03,170,conexão,true
CHA-00096,CLI-0032,2025-09-14,187,equipamento,true
CHA-00097,CLI-0032,2026-01-08,26,financeiro,true
CHA-00098,CLI-0032,2026-02-24,25,financeiro,false
CHA-00099,CLI-0032,2026-05-14,142,instalação,true
CHA-00100,CLI-0032,2025-09-11,200,conexão,true
CHA-00101,CLI-0032,2025-12-21,191,financeiro,true
CHA-00102,CLI-0033,2025-10-15,47,instalação,true
CHA-00103,CLI-0033,2025-07-02,31,conexão,true
CHA-00104,CLI-0033,2025-11-14,5,conexão,true
CHA-00105,CLI-0034,2026-02-27,194,financeiro,true
CHA-00106,CLI-0034,2025-10-03,131,financeiro,true
CHA-00107,CLI-0034,2025-10-26,199,financeiro,true
CHA-00108,CLI-0034,2026-01-04,11,financeiro,true
CHA-00109,CLI-0035,2026-02-21,210,equipamento,true
CHA-00110,CLI-0035,2025-07-21,88,instalação,true
CHA-00111,CLI-0035,2026-04-04,24,financeiro,true
CHA-00112,CLI-0035,2025-07-03,154,conexão,true
CHA-00113,CLI-0036,2026-01-11,136,conexão,true
CHA-00114,CLI-0036,2026-03-21,214,financeiro,true
CHA-00115,CLI-0036,2026-01-06,223,equipamento,true
CHA-00116,CLI-0036,2025-10-24,68,conexão,true
CHA-00117,CLI-0036,2025-06-16,208,financeiro,true
CHA-00118,CLI-0036,2026-07-01,217,financeiro,true
CHA-00119,CLI-0036,2026-01-08,100,conexão,true
CHA-00120,CLI-0036,2026-03-22,239,conexão,true
CHA-00121,CLI-0037,2025-09-06,231,financeiro,true
CHA-00122,CLI-0037,2025-06-17,144,conexão,false
CHA-00123,CLI-0038,2026-07-03,212,equipamento,true
CHA-00124,CLI-0038,2025-07-05,154,financeiro,false
CHA-00125,CLI-0038,2026-06-11,68,financeiro,true
CHA-00126,CLI-0038,2025-06-10,207,conexão,true
CHA-00127,CLI-0038,2026-04-11,152,equipamento,true
CHA-00128,CLI-0038,2026-05-05,50,financeiro,true
CHA-00129,CLI-0038,2025-06-15,193,instalação,false
CHA-00130,CLI-0038,2026-07-18,185,instalação,false
CHA-00131,CLI-0038,2025-10-17,41,financeiro,true
CHA-00132,CLI-0038,2025-06-13,230,equipamento,true
CHA-00133,CLI-0039,2026-02-20,49,instalação,true
CHA-00134,CLI-0039,2025-10-04,213,financeiro,true
CHA-00135,CLI-0040,2026-07-08,103,equipamento,true
CHA-00136,CLI-0040,2026-05-08,231,equipamento,true
CHA-00137,CLI-0040,2026-01-20,94,equipamento,true
CHA-00138,CLI-0040,2025-11-29,206,financeiro,true
CHA-00139,CLI-0040,2026-06-25,209,conexão,true
CHA-00140,CLI-0040,2026-02-19,71,conexão,true
CHA-00141,CLI-0040,2026-05-06,232,equipamento,true
CHA-00142,CLI-0040,2026-06-24,145,conexão,true
CHA-00143,CLI-0041,2026-03-05,25,equipamento,true
CHA-00144,CLI-0041,2026-02-25,205,equipamento,true
CHA-00145,CLI-0041,2025-08-28,72,conexão,true
CHA-00146,CLI-0041,2026-01-15,52,instalação,true
CHA-00147,CLI-0041,2026-01-24,52,equipamento,true
CHA-00148,CLI-0041,2025-12-19,124,instalação,true
CHA-00149,CLI-0042,2025-12-01,151,financeiro,true
CHA-00150,CLI-0042,2026-06-22,106,conexão,true
CHA-00151,CLI-0042,2025-11-10,209,financeiro,true
CHA-00152,CLI-0042,2025-07-10,119,financeiro,false
CHA-00153,CLI-0042,2026-05-08,59,financeiro,true
CHA-00154,CLI-0042,2025-12-28,25,equipamento,true
CHA-00155,CLI-0043,2026-05-05,75,equipamento,true
CHA-00156,CLI-0045,2026-03-22,196,conexão,true
CHA-00157,CLI-0045,2026-01-16,17,financeiro,true
CHA-00158,CLI-0045,2025-06-28,59,financeiro,true
CHA-00159,CLI-0046,2025-08-27,220,instalação,true
CHA-00160,CLI-0046,2025-10-01,160,instalação,true
CHA-00161,CLI-0046,2026-06-07,128,conexão,true
CHA-00162,CLI-0046,2026-03-13,168,instalação,true
CHA-00163,CLI-0046,2026-03-21,172,instalação,true
CHA-00164,CLI-0047,2025-07-07,238,financeiro,false
CHA-00165,CLI-0047,2026-02-11,172,conexão,true
CHA-00166,CLI-0047,2026-04-09,195,instalação,true
CHA-00167,CLI-0047,2026-02-13,100,instalação,true
CHA-00168,CLI-0048,2025-11-24,206,conexão,true
CHA-00169,CLI-0048,2025-12-22,167,equipamento,true
CHA-00170,CLI-0048,2025-11-30,103,conexão,true
CHA-00171,CLI-0048,2026-04-21,192,instalação,false
CHA-00172,CLI-0048,2026-02-18,198,financeiro,true
CHA-00173,CLI-0048,2026-07-30,165,financeiro,true
CHA-00174,CLI-0048,2026-02-06,84,financeiro,true
CHA-00175,CLI-0048,2025-11-17,155,instalação,true
CHA-00176,CLI-0048,2026-07-09,81,instalação,true
CHA-00177,CLI-0049,2026-03-25,126,financeiro,true
CHA-00178,CLI-0049,2025-08-15,166,conexão,true
CHA-00179,CLI-0049,2025-08-28,30,instalação,true
CHA-00180,CLI-0050,2026-06-16,204,conexão,true
CHA-00181,CLI-0050,2026-06-11,236,instalação,true
CHA-00182,CLI-0050,2025-12-11,80,instalação,true
CHA-00183,CLI-0050,2026-06-11,213,financeiro,true
CHA-00184,CLI-0050,2026-03-06,97,instalação,true
CHA-00185,CLI-0050,2026-06-03,29,conexão,true
CHA-00186,CLI-0050,2026-05-23,174,financeiro,true
CHA-00187,CLI-0051,2025-11-27,240,equipamento,true
CHA-00188,CLI-0051,2026-01-03,117,conexão,true
CHA-00189,CLI-0051,2025-08-31,85,conexão,true
CHA-00190,CLI-0052,2026-07-07,134,financeiro,true
CHA-00191,CLI-0052,2026-01-20,108,financeiro,true
CHA-00192,CLI-0052,2025-12-17,210,equipamento,true
CHA-00193,CLI-0052,2025-11-19,119,instalação,true
CHA-00194,CLI-0053,2025-11-07,100,conexão,true
CHA-00195,CLI-0053,2026-05-09,131,financeiro,true
CHA-00196,CLI-0053,2025-07-17,189,equipamento,true
CHA-00197,CLI-0053,2025-09-23,55,financeiro,true
CHA-00198,CLI-0053,2026-01-12,60,equipamento,true
CHA-00199,CLI-0053,2026-04-26,188,instalação,true
CHA-00200,CLI-0054,2026-03-14,106,instalação,false
CHA-00201,CLI-0054,2025-12-13,211,financeiro,true
CHA-00202,CLI-0054,2025-09-27,184,instalação,true
CHA-00203,CLI-0055,2026-03-08,179,instalação,true
CHA-00204,CLI-0055,2026-07-01,181,instalação,true
CHA-00205,CLI-0055,2025-10-28,13,instalação,true
CHA-00206,CLI-0055,2026-06-10,162,financeiro,true
CHA-00207,CLI-0056,2025-11-11,35,equipamento,true
CHA-00208,CLI-0056,2026-03-12,147,instalação,true
CHA-00209,CLI-0057,2025-11-03,126,conexão,true
CHA-00210,CLI-0057,2026-02-05,119,financeiro,false
CHA-00211,CLI-0057,2025-09-21,240,financeiro,false
CHA-00212,CLI-0057,2025-08-17,231,instalação,true
CHA-00213,CLI-0057,2025-06-20,34,equipamento,true
CHA-00214,CLI-0058,2026-02-13,14,conexão,true
CHA-00215,CLI-0058,2026-05-02,208,instalação,true
CHA-00216,CLI-0059,2025-06-19,222,instalação,false
CHA-00217,CLI-0059,2026-05-20,81,instalação,false
CHA-00218,CLI-0059,2026-07-27,146,financeiro,true
CHA-00219,CLI-0059,2026-07-30,151,equipamento,true
CHA-00220,CLI-0059,2026-06-19,83,financeiro,true
CHA-00221,CLI-0059,2025-07-26,93,financeiro,true
CHA-00222,CLI-0060,2025-08-29,83,financeiro,true
CHA-00223,CLI-0060,2026-01-27,211,instalação,false
CHA-00224,CLI-0060,2026-05-07,6,instalação,true
CHA-00225,CLI-0060,2026-04-10,187,equipamento,true
CHA-00226,CLI-0060,2026-01-29,39,instalação,true
CHA-00227,CLI-0060,2025-12-08,119,instalação,true
CHA-00228,CLI-0060,2025-11-25,146,conexão,true
CHA-00229,CLI-0061,2026-05-12,50,financeiro,true
CHA-00230,CLI-0061,2025-11-27,96,conexão,true
CHA-00231,CLI-0061,2025-11-25,64,conexão,true
CHA-00232,CLI-0061,2026-04-04,15,financeiro,true
CHA-00233,CLI-0064,2025-08-16,112,financeiro,true
CHA-00234,CLI-0064,2026-05-03,126,conexão,true
CHA-00235,CLI-0064,2025-11-02,133,conexão,true
CHA-00236,CLI-0064,2025-08-29,38,conexão,true
CHA-00237,CLI-0065,2025-10-06,69,instalação,true
CHA-00238,CLI-0065,2025-12-28,149,instalação,true
CHA-00239,CLI-0065,2025-08-18,106,financeiro,true
CHA-00240,CLI-0065,2025-06-26,147,equipamento,true
CHA-00241,CLI-0065,2025-10-19,147,equipamento,true
CHA-00242,CLI-0065,2026-02-25,152,instalação,true
CHA-00243,CLI-0066,2025-09-21,172,instalação,true
CHA-00244,CLI-0066,2025-09-30,19,financeiro,true
CHA-00245,CLI-0066,2025-12-20,7,financeiro,true
CHA-00246,CLI-0066,2025-06-16,137,instalação,true
CHA-00247,CLI-0066,2025-06-26,158,financeiro,true
CHA-00248,CLI-0067,2026-05-04,109,conexão,true
CHA-00249,CLI-0067,2025-11-17,80,instalação,false
CHA-00250,CLI-0067,2025-06-16,136,instalação,true
CHA-00251,CLI-0067,2025-06-11,208,instalação,true
CHA-00252,CLI-0068,2026-02-01,60,instalação,true
CHA-00253,CLI-0068,2025-07-15,179,financeiro,true
CHA-00254,CLI-0068,2026-04-21,65,financeiro,true
CHA-00255,CLI-0068,2026-04-18,63,financeiro,true
CHA-00256,CLI-0068,2025-09-19,96,financeiro,true
CHA-00257,CLI-0068,2026-06-01,240,conexão,true
CHA-00258,CLI-0068,2025-08-27,131,conexão,true
CHA-00259,CLI-0069,2026-03-17,125,instalação,true
CHA-00260,CLI-0069,2025-11-19,113,financeiro,true
CHA-00261,CLI-0069,2025-07-12,100,instalação,true
CHA-00262,CLI-0069,2026-03-11,120,financeiro,true
CHA-00263,CLI-0069,2025-10-11,180,financeiro,true
CHA-00264,CLI-0070,2026-02-06,10,equipamento,true
CHA-00265,CLI-0070,2025-08-19,160,financeiro,true
CHA-00266,CLI-0070,2025-09-03,171,financeiro,false
CHA-00267,CLI-0070,2026-03-09,95,instalação,true
CHA-00268,CLI-0070,2025-11-25,203,equipamento,true
CHA-00269,CLI-0070,2026-01-18,162,instalação,true
CHA-00270,CLI-0070,2026-05-19,227,financeiro,true
CHA-00271,CLI-0071,2025-11-06,200,conexão,true
CHA-00272,CLI-0071,2025-09-19,44,conexão,true
CHA-00273,CLI-0071,2026-01-14,84,financeiro,true
CHA-00274,CLI-0071,2026-03-09,118,financeiro,true
CHA-00275,CLI-0071,2026-05-06,12,conexão,true
CHA-00276,CLI-0071,2026-02-16,226,equipamento,true
CHA-00277,CLI-0071,2025-10-29,74,equipamento,true
CHA-00278,CLI-0071,2025-08-09,143,financeiro,true
CHA-00279,CLI-0071,2025-12-11,166,equipamento,true
CHA-00280,CLI-0072,2025-09-05,104,equipamento,true
CHA-00281,CLI-0072,2026-06-22,113,financeiro,true
CHA-00282,CLI-0072,2025-06-18,237,instalação,true
CHA-00283,CLI-0072,2025-07-17,141,instalação,true
CHA-00284,CLI-0072,2026-06-27,51,financeiro,true
CHA-00285,CLI-0073,2025-07-31,117,conexão,true
CHA-00286,CLI-0073,2026-05-16,8,equipamento,true
CHA-00287,CLI-0073,2025-12-29,84,equipamento,false
CHA-00288,CLI-0073,2025-12-07,183,conexão,true
CHA-00289,CLI-0073,2025-07-13,42,conexão,true
CHA-00290,CLI-0073,2026-01-13,23,equipamento,true
CHA-00291,CLI-0075,2026-04-25,10,equipamento,true
CHA-00292,CLI-0075,2026-05-25,69,conexão,true
CHA-00293,CLI-0075,2025-12-20,148,instalação,true
CHA-00294,CLI-0075,2025-11-24,53,financeiro,true
CHA-00295,CLI-0075,2026-02-17,192,equipamento,true
CHA-00296,CLI-0076,2026-06-28,16,financeiro,true
CHA-00297,CLI-0076,2026-07-16,56,conexão,true
CHA-00298,CLI-0076,2026-06-12,13,equipamento,true
CHA-00299,CLI-0079,2025-10-22,135,financeiro,true
CHA-00300,CLI-0079,2025-12-09,96,financeiro,true
CHA-00301,CLI-0079,2026-01-26,232,financeiro,true
CHA-00302,CLI-0081,2026-05-24,128,financeiro,true
CHA-00303,CLI-0081,2025-09-02,151,financeiro,true
CHA-00304,CLI-0081,2025-07-21,139,financeiro,true
CHA-00305,CLI-0081,2026-03-18,203,equipamento,true
CHA-00306,CLI-0082,2025-12-14,125,conexão,true
CHA-00307,CLI-0082,2025-07-19,142,financeiro,true
CHA-00308,CLI-0082,2025-11-07,197,instalação,true
CHA-00309,CLI-0082,2025-09-17,191,financeiro,true
CHA-00310,CLI-0083,2026-06-07,9,instalação,true
CHA-00311,CLI-0083,2025-09-03,103,financeiro,false
CHA-00312,CLI-0083,2025-11-14,186,conexão,false
CHA-00313,CLI-0083,2025-11-26,226,conexão,true
CHA-00314,CLI-0083,2025-11-18,122,conexão,true
CHA-00315,CLI-0083,2025-11-03,83,instalação,true
CHA-00316,CLI-0083,2025-07-16,45,conexão,true
CHA-00317,CLI-0084,2026-05-23,153,financeiro,true
CHA-00318,CLI-0084,2026-02-24,181,financeiro,true
CHA-00319,CLI-0084,2025-07-03,42,financeiro,true
CHA-00320,CLI-0084,2025-10-20,141,conexão,true
CHA-00321,CLI-0084,2026-05-19,191,conexão,true
CHA-00322,CLI-0084,2026-01-02,110,instalação,true
CHA-00323,CLI-0084,2025-06-07,233,instalação,true
CHA-00324,CLI-0085,2026-04-10,195,financeiro,true
CHA-00325,CLI-0085,2026-06-29,50,equipamento,true
CHA-00326,CLI-0085,2025-11-24,181,instalação,true
CHA-00327,CLI-0085,2026-03-28,114,equipamento,true
CHA-00328,CLI-0085,2025-09-24,193,equipamento,true
CHA-00329,CLI-0085,2026-01-12,161,conexão,true
CHA-00330,CLI-0085,2025-12-13,121,conexão,true
CHA-00331,CLI-0085,2026-03-29,137,equipamento,false
CHA-00332,CLI-0085,2026-07-12,147,equipamento,true
CHA-00333,CLI-0085,2025-09-13,17,financeiro,true
CHA-00334,CLI-0085,2026-01-10,231,instalação,true
CHA-00335,CLI-0087,2026-03-07,165,financeiro,true
CHA-00336,CLI-0087,2026-05-26,56,conexão,true
CHA-00337,CLI-0087,2026-03-25,8,equipamento,true
CHA-00338,CLI-0088,2026-03-09,161,financeiro,false
CHA-00339,CLI-0088,2025-07-14,153,instalação,false
CHA-00340,CLI-0088,2026-06-15,201,instalação,true
CHA-00341,CLI-0088,2026-01-19,214,conexão,true
CHA-00342,CLI-0088,2025-10-24,21,instalação,true
CHA-00343,CLI-0088,2026-05-31,182,instalação,true
CHA-00344,CLI-0088,2026-01-02,139,financeiro,true
CHA-00345,CLI-0088,2025-09-22,19,conexão,true
CHA-00346,CLI-0088,2025-09-13,140,conexão,true
CHA-00347,CLI-0088,2025-08-14,159,instalação,true
CHA-00348,CLI-0089,2026-02-25,81,instalação,true
CHA-00349,CLI-0089,2026-06-04,180,instalação,true
CHA-00350,CLI-0089,2025-07-27,150,conexão,true
CHA-00351,CLI-0090,2026-01-21,165,financeiro,true
CHA-00352,CLI-0090,2026-01-14,52,conexão,true
CHA-00353,CLI-0090,2025-07-13,83,instalação,true
CHA-00354,CLI-0090,2026-03-15,110,conexão,true
CHA-00355,CLI-0090,2026-04-02,100,equipamento,true
CHA-00356,CLI-0090,2026-02-28,60,instalação,true
CHA-00357,CLI-0090,2026-01-22,205,conexão,true
CHA-00358,CLI-0090,2026-06-15,118,conexão,true
CHA-00359,CLI-0090,2025-11-18,44,financeiro,true
CHA-00360,CLI-0090,2025-11-27,192,instalação,true
CHA-00361,CLI-0091,2026-03-14,34,conexão,false
CHA-00362,CLI-0091,2025-10-19,136,conexão,true
CHA-00363,CLI-0091,2026-02-03,145,instalação,true
CHA-00364,CLI-0091,2025-08-06,210,instalação,true
CHA-00365,CLI-0091,2026-05-06,23,instalação,true
CHA-00366,CLI-0092,2025-08-03,201,equipamento,true
CHA-00367,CLI-0092,2026-04-09,41,instalação,false
CHA-00368,CLI-0092,2026-01-13,51,instalação,true
CHA-00369,CLI-0092,2026-02-16,121,equipamento,true
CHA-00370,CLI-0092,2025-12-01,33,instalação,true
CHA-00371,CLI-0093,2025-08-02,151,equipamento,true
CHA-00372,CLI-0093,2025-09-30,123,instalação,true
CHA-00373,CLI-0093,2025-06-07,118,financeiro,true
CHA-00374,CLI-0095,2025-08-23,37,financeiro,true
CHA-00375,CLI-0095,2025-09-04,9,financeiro,true
CHA-00376,CLI-0095,2025-11-25,173,equipamento,false
CHA-00377,CLI-0095,2026-05-24,26,financeiro,true
CHA-00378,CLI-0095,2026-01-01,225,equipamento,true
CHA-00379,CLI-0096,2025-12-06,137,conexão,true
CHA-00380,CLI-0096,2025-09-23,27,financeiro,true
CHA-00381,CLI-0096,2025-07-18,174,conexão,true
CHA-00382,CLI-0097,2026-03-23,8,conexão,true
CHA-00383,CLI-0097,2025-10-03,194,financeiro,true
CHA-00384,CLI-0097,2026-01-24,211,financeiro,true
CHA-00385,CLI-0097,2025-08-08,65,equipamento,true
CHA-00386,CLI-0097,2025-11-04,225,conexão,true
CHA-00387,CLI-0097,2026-06-19,42,financeiro,true
CHA-00388,CLI-0098,2025-11-02,64,equipamento,true
CHA-00389,CLI-0098,2026-01-14,126,instalação,true
CHA-00390,CLI-0098,2025-12-22,8,instalação,false
CHA-00391,CLI-0098,2025-12-15,102,instalação,false
CHA-00392,CLI-0098,2025-08-17,15,conexão,false
CHA-00393,CLI-0101,2025-09-21,169,conexão,false
CHA-00394,CLI-0102,2026-01-30,90,instalação,true
CHA-00395,CLI-0102,2025-09-12,170,conexão,true
CHA-00396,CLI-0102,2026-02-08,25,equipamento,true
CHA-00397,CLI-0103,2026-06-02,59,equipamento,false
CHA-00398,CLI-0103,2025-10-31,43,financeiro,false
CHA-00399,CLI-0103,2026-07-14,193,financeiro,true
CHA-00400,CLI-0103,2026-07-23,125,conexão,true
CHA-00401,CLI-0104,2026-06-30,35,instalação,true
CHA-00402,CLI-0104,2026-01-01,48,instalação,true
CHA-00403,CLI-0104,2025-12-20,67,conexão,true
CHA-00404,CLI-0104,2025-06-22,221,equipamento,true
CHA-00405,CLI-0104,2026-07-24,230,equipamento,true
CHA-00406,CLI-0105,2025-11-15,61,equipamento,true
CHA-00407,CLI-0105,2025-08-29,58,instalação,true
CHA-00408,CLI-0105,2026-06-05,208,financeiro,true
CHA-00409,CLI-0105,2025-12-02,132,financeiro,true
CHA-00410,CLI-0105,2026-07-10,18,instalação,true
CHA-00411,CLI-0105,2025-12-22,69,instalação,true
CHA-00412,CLI-0105,2025-07-09,121,conexão,true
CHA-00413,CLI-0105,2026-07-06,142,financeiro,true
CHA-00414,CLI-0105,2026-07-18,129,conexão,true
CHA-00415,CLI-0105,2026-04-03,189,equipamento,true
CHA-00416,CLI-0107,2025-10-03,43,conexão,true
CHA-00417,CLI-0107,2026-07-10,15,equipamento,true
CHA-00418,CLI-0108,2025-09-14,23,equipamento,true
CHA-00419,CLI-0108,2026-02-12,140,conexão,true
CHA-00420,CLI-0108,2025-07-12,74,financeiro,true
CHA-00421,CLI-0108,2026-06-21,163,instalação,true
CHA-00422,CLI-0108,2026-07-04,136,instalação,true
CHA-00423,CLI-0108,2026-06-06,103,instalação,true
CHA-00424,CLI-0108,2026-07-12,98,instalação,true
CHA-00425,CLI-0109,2026-02-18,95,instalação,true
CHA-00426,CLI-0109,2025-12-28,75,conexão,true
CHA-00427,CLI-0109,2026-02-06,120,equipamento,true
CHA-00428,CLI-0109,2026-05-31,125,instalação,true
CHA-00429,CLI-0110,2025-11-08,170,instalação,true
CHA-00430,CLI-0110,2026-02-07,172,instalação,true
CHA-00431,CLI-0110,2025-08-26,183,equipamento,true
CHA-00432,CLI-0110,2025-10-15,38,instalação,true
CHA-00433,CLI-0112,2025-11-29,235,conexão,true
CHA-00434,CLI-0112,2025-10-23,34,instalação,true
CHA-00435,CLI-0112,2025-09-19,220,financeiro,true
CHA-00436,CLI-0113,2025-07-18,111,equipamento,true
CHA-00437,CLI-0113,2025-06-15,191,equipamento,true
CHA-00438,CLI-0113,2026-01-01,40,conexão,true
CHA-00439,CLI-0113,2026-02-27,126,instalação,true
CHA-00440,CLI-0113,2025-10-03,198,equipamento,true
CHA-00441,CLI-0114,2025-11-22,22,instalação,true
CHA-00442,CLI-0114,2025-10-16,116,instalação,true
CHA-00443,CLI-0114,2025-12-01,182,conexão,true
CHA-00444,CLI-0115,2026-03-16,180,instalação,true
CHA-00445,CLI-0115,2025-10-09,95,financeiro,true
CHA-00446,CLI-0115,2025-11-09,77,instalação,true
CHA-00447,CLI-0115,2026-01-03,92,financeiro,true
CHA-00448,CLI-0115,2026-05-14,133,financeiro,true
CHA-00449,CLI-0115,2025-06-20,234,conexão,true
CHA-00450,CLI-0115,2026-06-23,34,financeiro,false
CHA-00451,CLI-0116,2026-06-02,237,instalação,true
CHA-00452,CLI-0117,2026-05-11,223,financeiro,true
CHA-00453,CLI-0117,2026-06-28,30,conexão,true
CHA-00454,CLI-0117,2025-07-31,54,instalação,true
CHA-00455,CLI-0117,2025-07-11,142,conexão,false
CHA-00456,CLI-0117,2026-06-12,59,equipamento,true
CHA-00457,CLI-0117,2025-10-04,52,equipamento,true
CHA-00458,CLI-0117,2026-06-08,51,instalação,false
CHA-00459,CLI-0118,2025-12-01,178,instalação,true
CHA-00460,CLI-0118,2025-08-21,130,conexão,true
CHA-00461,CLI-0118,2025-11-07,173,conexão,true
CHA-00462,CLI-0118,2026-01-11,107,conexão,true
CHA-00463,CLI-0118,2026-05-07,21,instalação,false
CHA-00464,CLI-0119,2026-02-27,164,conexão,true
CHA-00465,CLI-0119,2025-08-28,197,equipamento,true
CHA-00466,CLI-0120,2025-08-16,143,equipamento,true
CHA-00467,CLI-0120,2026-05-13,134,conexão,true
CHA-00468,CLI-0120,2025-11-21,156,equipamento,true
CHA-00469,CLI-0120,2026-02-02,201,instalação,true
CHA-00470,CLI-0120,2026-07-18,156,conexão,true
CHA-00471,CLI-0120,2026-01-26,94,conexão,true
CHA-00472,CLI-0120,2025-09-15,92,equipamento,true
