pedido_id,cliente_id,data_pedido,canal,categoria,quantidade,preco_unitario,desconto_pct,valor_pedido
PED-00073,CLI-0069,2026-01-05,marketplace,livros,3,249.67,0,749.01
PED-00074,CLI-0070,2026-06-27,site,livros,4,409.53,15,1392.4
PED-00075,CLI-0328,2026-02-20,site,eletrônicos,4,101.18,5,384.48
PED-00076,CLI-0585,2025-12-31,marketplace,livros,2,274.44,15,466.55
PED-00077,CLI-0408,2025-10-10,site,esporte,2,539.55,0,1079.1
PED-00078,CLI-0194,2026-07-02,app,eletrônicos,3,202.77,10,547.48
PED-00079,CLI-0146,2026-08-10,app,beleza,3,338.86,5,965.75
PED-00080,CLI-0011,2025-08-10,marketplace,eletrônicos,4,356.06,15,1210.6
PED-00081,CLI-0158,2025-04-01,app,casa,3,230.08,10,621.22
PED-00082,CLI-0545,2026-02-15,loja,beleza,4,65.7,15,223.38
PED-00083,CLI-0098,2025-04-13,loja,eletrônicos,5,418.86,0,2094.3
PED-00084,CLI-0495,2025-04-20,app,eletrônicos,5,291.2,10,1310.4
PED-00085,CLI-0048,2025-05-13,site,beleza,3,64.52,0,193.56
PED-00086,CLI-0130,2025-06-08,app,casa,5,475.46,0,2377.3
PED-00087,CLI-0276,2025-06-02,app,esporte,5,302.38,0,1511.9
PED-00088,CLI-0106,2026-08-23,loja,beleza,3,337.49,10,911.22
PED-00089,CLI-0440,2026-01-16,app,beleza,3,530.27,0,1590.81
PED-00090,CLI-0020,2026-03-31,marketplace,livros,1,196.49,0,196.49
PED-00091,CLI-0318,2026-04-16,app,livros,3,457.87,0,1373.61
PED-00092,CLI-0422,2026-07-29,app,esporte,4,540.49,10,1945.76
PED-00093,CLI-0559,2025-05-14,app,eletrônicos,3,398.02,10,1074.65
PED-00094,CLI-0482,2025-07-02,marketplace,casa,3,430.78,20,1033.87
PED-00095,CLI-0176,2026-03-21,loja,livros,6,516.9,5,2946.33
PED-00096,CLI-0351,2025-07-15,loja,beleza,6,211.21,15,1077.17
PED-00097,CLI-0386,2026-04-19,loja,esporte,5,331.1,10,1489.95
PED-00098,CLI-0315,2025-04-23,app,beleza,3,589.33,20,1414.39
PED-00099,CLI-0049,2025-02-14,app,livros,2,405.66,10,730.19
PED-00100,CLI-0129,2026-07-01,loja,esporte,6,29.86,0,179.16
PED-00101,CLI-0032,2026-08-19,site,beleza,4,625.36,15,2126.22
PED-00102,CLI-0363,2025-10-21,marketplace,casa,1,398.09,5,378.19
PED-00103,CLI-0416,2026-05-05,marketplace,casa,4,98.55,0,394.2
PED-00104,CLI-0034,2025-05-09,app,esporte,3,183.39,0,550.17
PED-00105,CLI-0275,2025-08-25,site,eletrônicos,1,394.31,0,394.31
PED-00106,CLI-0117,2025-12-07,marketplace,casa,2,312.99,0,625.98
PED-00107,CLI-0265,2025-07-06,marketplace,livros,4,214.39,0,857.56
PED-00108,CLI-0012,2026-03-08,site,beleza,5,630.82,0,3154.1
PED-00109,CLI-0229,2025-09-30,app,livros,2,598.43,20,957.49
PED-00110,CLI-0314,2026-06-25,app,casa,6,190.47,20,914.26
PED-00111,CLI-0331,2026-08-13,marketplace,esporte,5,420.82,20,1683.28
PED-00112,CLI-0362,2026-05-08,app,beleza,4,521.86,0,2087.44
PED-00113,CLI-0168,2025-01-21,loja,esporte,2,123.02,20,196.83
PED-00114,CLI-0208,2025-08-30,app,beleza,4,223.05,0,892.2
PED-00115,CLI-0057,2026-07-31,marketplace,livros,1,381.18,15,324.0
PED-00116,CLI-0320,2026-04-10,loja,casa,4,60.69,20,194.21
PED-00117,CLI-0333,2026-04-08,loja,livros,5,326.98,20,1307.92
PED-00118,CLI-0255,2025-02-23,site,esporte,6,600.12,0,3600.72
PED-00119,CLI-0063,2026-05-20,marketplace,esporte,5,108.76,15,462.23
PED-00120,CLI-0202,2026-01-08,loja,casa,3,615.93,0,1847.79
PED-00121,CLI-0328,2026-08-12,app,beleza,4,389.29,0,1557.16
PED-00122,CLI-0481,2025-07-07,app,livros,6,237.15,10,1280.61
PED-00123,CLI-0524,2026-04-13,site,casa,2,174.81,20,279.7
PED-00124,CLI-0284,2025-09-10,loja,casa,1,608.45,0,608.45
PED-00125,CLI-0434,2025-08-02,loja,eletrônicos,1,132.26,0,132.26
PED-00126,CLI-0260,2025-07-03,site,beleza,2,203.25,5,386.17
PED-00127,CLI-0470,2026-07-06,app,eletrônicos,3,138.63,20,332.71
PED-00128,CLI-0075,2025-09-05,marketplace,eletrônicos,2,237.2,0,474.4
PED-00129,CLI-0099,2025-05-09,site,esporte,2,537.19,0,1074.38
PED-00130,CLI-0548,2025-04-02,marketplace,eletrônicos,3,616.64,0,1849.92
PED-00131,CLI-0280,2025-10-01,app,casa,6,648.53,0,3891.18
PED-00132,CLI-0081,2025-11-03,app,livros,3,266.55,0,799.65
PED-00133,CLI-0523,2026-01-17,site,esporte,1,101.17,0,101.17
PED-00134,CLI-0256,2026-06-14,loja,eletrônicos,1,388.59,20,310.87
PED-00135,CLI-0318,2025-12-24,loja,eletrônicos,6,487.53,15,2486.4
PED-00136,CLI-0322,2026-04-27,loja,esporte,1,228.57,5,217.14
PED-00137,CLI-0178,2025-05-05,app,livros,4,291.18,0,1164.72
PED-00138,CLI-0441,2026-02-24,site,esporte,2,29.03,20,46.45
PED-00139,CLI-0550,2025-05-18,loja,esporte,1,442.29,20,353.83
PED-00140,CLI-0001,2025-09-01,marketplace,esporte,3,101.06,20,242.54
PED-00141,CLI-0057,2025-03-16,loja,beleza,3,44.25,0,132.75
PED-00142,CLI-0368,2026-07-30,marketplace,beleza,6,261.58,20,1255.58
PED-00143,CLI-0195,2026-04-02,app,esporte,4,572.43,0,2289.72
PED-00144,CLI-0039,2025-01-25,site,eletrônicos,5,44.56,20,178.24
PED-00145,CLI-0099,2025-03-22,site,casa,3,501.66,5,1429.73
PED-00146,CLI-0513,2025-06-02,site,beleza,4,543.23,10,1955.63
PED-00147,CLI-0118,2025-08-01,marketplace,casa,1,195.62,5,185.84
PED-00148,CLI-0485,2026-07-23,loja,eletrônicos,5,89.97,10,404.87
PED-00149,CLI-0047,2026-06-25,loja,eletrônicos,6,241.24,5,1375.07
PED-00150,CLI-0571,2026-01-26,app,esporte,3,645.74,20,1549.78
PED-00151,CLI-0491,2026-05-06,app,esporte,2,349.17,0,698.34
PED-00152,CLI-0115,2025-06-10,loja,esporte,1,475.57,10,428.01
PED-00153,CLI-0361,2025-06-08,marketplace,livros,6,140.07,0,840.42
PED-00154,CLI-0030,2025-01-19,app,eletrônicos,4,343.96,15,1169.46
PED-00155,CLI-0599,2026-02-14,loja,eletrônicos,5,298.26,10,1342.17
PED-00156,CLI-0562,2025-09-19,app,esporte,3,635.43,10,1715.66
PED-00157,CLI-0270,2026-04-18,site,esporte,1,182.45,5,173.33
PED-00158,CLI-0461,2026-01-24,loja,eletrônicos,5,343.54,5,1631.82
PED-00159,CLI-0087,2026-07-29,marketplace,livros,3,500.13,0,1500.39
PED-00160,CLI-0375,2025-12-29,marketplace,casa,4,46.71,15,158.81
PED-00161,CLI-0516,2025-11-07,site,esporte,2,603.31,0,1206.62
PED-00162,CLI-0034,2025-08-03,app,livros,5,607.02,0,3035.1
PED-00163,CLI-0220,2026-06-26,app,esporte,3,288.83,20,693.19
PED-00164,CLI-0205,2026-05-04,site,esporte,4,520.19,0,2080.76
PED-00165,CLI-0165,2026-05-23,marketplace,eletrônicos,6,370.16,0,2220.96
PED-00166,CLI-0158,2026-01-16,site,eletrônicos,3,364.02,15,928.25
PED-00167,CLI-0384,2025-05-28,loja,livros,3,438.14,0,1314.42
PED-00168,CLI-0303,2025-11-25,site,beleza,1,433.97,0,433.97
PED-00169,CLI-0214,2025-02-07,marketplace,esporte,6,374.19,10,2020.63
PED-00170,CLI-0139,2026-04-15,loja,esporte,2,346.91,5,659.13
PED-00171,CLI-0289,2025-04-10,app,beleza,4,153.6,0,614.4
PED-00172,CLI-0595,2025-08-14,site,livros,6,55.57,0,333.42
PED-00173,CLI-0232,2025-08-17,site,esporte,3,117.47,0,352.41
PED-00174,CLI-0580,2025-10-12,marketplace,livros,1,294.62,10,265.16
PED-00175,CLI-0525,2025-10-05,marketplace,casa,4,494.9,0,1979.6
PED-00176,CLI-0387,2026-01-03,app,casa,1,347.82,20,278.26
PED-00177,CLI-0414,2025-12-11,site,eletrônicos,2,303.88,0,607.76
PED-00178,CLI-0230,2025-06-19,loja,eletrônicos,2,175.88,0,351.76
PED-00179,CLI-0105,2026-01-17,app,livros,4,487.93,5,1854.13
PED-00180,CLI-0045,2025-03-22,loja,eletrônicos,6,251.18,10,1356.37
PED-00181,CLI-0520,2026-06-13,site,livros,6,122.91,20,589.97
PED-00182,CLI-0556,2025-03-13,site,casa,4,272.41,0,1089.64
PED-00183,CLI-0567,2025-08-11,loja,livros,5,98.32,10,442.44
PED-00184,CLI-0571,2026-05-13,marketplace,casa,6,406.18,10,2193.37
PED-00185,CLI-0401,2026-03-03,loja,beleza,1,224.28,5,213.07
PED-00186,CLI-0149,2025-10-16,app,livros,3,209.45,0,628.35
PED-00187,CLI-0403,2026-07-23,app,eletrônicos,2,176.67,10,318.01
PED-00188,CLI-0308,2025-09-08,loja,eletrônicos,4,166.33,0,665.32
PED-00189,CLI-0113,2025-08-20,site,casa,1,547.36,20,437.89
PED-00190,CLI-0125,2026-01-25,loja,eletrônicos,6,258.57,10,1396.28
PED-00191,CLI-0393,2025-09-12,site,eletrônicos,6,380.61,0,2283.66
PED-00192,CLI-0095,2025-09-28,site,eletrônicos,4,606.19,20,1939.81
PED-00193,CLI-0388,2026-08-18,app,livros,5,97.12,0,485.6
PED-00194,CLI-0217,2026-05-13,loja,eletrônicos,4,372.05,15,1264.97
PED-00195,CLI-0096,2025-02-16,app,eletrônicos,2,183.48,0,366.96
PED-00196,CLI-0576,2026-06-13,site,livros,1,88.07,20,70.46
PED-00197,CLI-0238,2025-01-10,app,livros,3,600.47,15,1531.2
PED-00198,CLI-0003,2025-04-29,loja,livros,4,570.29,15,1938.99
PED-00199,CLI-0002,2026-04-07,loja,eletrônicos,1,335.47,5,318.7
PED-00200,CLI-0516,2026-01-31,marketplace,beleza,4,81.26,15,276.28
PED-00201,CLI-0269,2025-08-06,loja,esporte,1,31.77,0,31.77
PED-00202,CLI-0157,2025-10-06,marketplace,livros,3,317.44,20,761.86
PED-00203,CLI-0466,2026-04-29,loja,eletrônicos,5,187.88,0,939.4
PED-00204,CLI-0272,2025-08-16,loja,beleza,2,560.16,5,1064.3
PED-00205,CLI-0461,2026-08-18,site,beleza,5,600.14,10,2700.63
PED-00206,CLI-0235,2025-08-24,marketplace,beleza,2,402.55,15,684.34
PED-00207,CLI-0415,2025-10-23,loja,eletrônicos,1,135.44,15,115.12
PED-00208,CLI-0437,2025-01-05,marketplace,livros,4,28.69,0,114.76
PED-00209,CLI-0047,2025-08-28,loja,esporte,1,462.18,10,415.96
PED-00210,CLI-0038,2026-02-11,site,eletrônicos,2,73.36,20,117.38
PED-00211,CLI-0303,2026-07-01,marketplace,eletrônicos,5,274.62,0,1373.1
PED-00212,CLI-0398,2025-06-19,loja,eletrônicos,3,160.74,0,482.22
PED-00213,CLI-0410,2025-03-04,marketplace,beleza,3,296.59,10,800.79
PED-00214,CLI-0598,2025-11-04,loja,beleza,5,257.26,15,1093.36
PED-00215,CLI-0253,2025-09-16,marketplace,eletrônicos,5,61.82,0,309.1
PED-00216,CLI-0480,2025-01-26,site,eletrônicos,1,600.3,5,570.28
PED-00217,CLI-0228,2026-04-01,marketplace,livros,4,618.2,20,1978.24
PED-00218,CLI-0207,2026-08-11,site,esporte,3,394.37,20,946.49
PED-00219,CLI-0453,2026-06-25,site,beleza,1,87.93,0,87.93
PED-00220,CLI-0025,2026-03-10,app,eletrônicos,1,645.39,0,645.39
PED-00221,CLI-0366,2025-10-02,loja,beleza,3,203.63,20,488.71
PED-00222,CLI-0239,2026-03-10,loja,beleza,4,194.53,0,778.12
PED-00223,CLI-0166,2026-02-21,app,beleza,6,602.99,0,3617.94
PED-00224,CLI-0217,2025-04-22,app,livros,4,508.53,0,2034.12
PED-00225,CLI-0057,2025-09-07,loja,beleza,1,571.91,20,457.53
PED-00226,CLI-0414,2026-08-23,loja,casa,5,131.83,15,560.28
PED-00227,CLI-0490,2026-01-31,marketplace,casa,6,88.57,15,451.71
PED-00228,CLI-0311,2025-04-17,marketplace,casa,4,154.8,10,557.28
PED-00229,CLI-0156,2025-10-07,app,beleza,5,331.04,15,1406.92
PED-00230,CLI-0250,2025-12-24,app,esporte,5,255.71,0,1278.55
PED-00231,CLI-0268,2026-02-02,site,casa,5,304.44,0,1522.2
PED-00232,CLI-0494,2025-10-08,marketplace,esporte,5,144.88,0,724.4
PED-00233,CLI-0573,2025-02-04,site,esporte,4,21.71,0,86.84
PED-00234,CLI-0122,2025-08-23,site,esporte,3,310.3,0,930.9
PED-00235,CLI-0571,2025-05-20,app,livros,3,33.48,15,85.37
PED-00236,CLI-0548,2025-09-27,marketplace,eletrônicos,4,209.03,0,836.12
PED-00237,CLI-0336,2025-04-15,loja,esporte,3,436.78,15,1113.79
PED-00238,CLI-0257,2025-01-06,app,esporte,2,396.76,0,793.52
PED-00239,CLI-0408,2025-04-12,app,livros,6,359.92,5,2051.54
PED-00240,CLI-0057,2025-11-26,loja,eletrônicos,2,399.94,20,639.9
PED-00241,CLI-0050,2025-06-27,site,eletrônicos,4,640.46,0,2561.84
PED-00242,CLI-0076,2025-02-26,marketplace,eletrônicos,1,534.96,5,508.21
PED-00243,CLI-0259,2026-08-23,site,casa,4,139.68,0,558.72
PED-00244,CLI-0570,2025-03-31,app,casa,2,18.76,15,31.89
PED-00245,CLI-0587,2026-06-28,site,beleza,3,438.92,5,1250.92
PED-00246,CLI-0224,2026-02-19,site,eletrônicos,4,98.81,15,335.95
PED-00247,CLI-0506,2025-09-28,marketplace,casa,6,183.84,0,1103.04
PED-00248,CLI-0430,2026-02-27,site,beleza,3,630.68,15,1608.23
PED-00249,CLI-0544,2025-05-22,app,casa,2,642.31,20,1027.7
PED-00250,CLI-0539,2025-01-22,marketplace,livros,4,152.82,0,611.28
PED-00251,CLI-0229,2025-05-05,site,casa,4,260.94,15,887.2
PED-00252,CLI-0447,2025-07-14,app,esporte,4,183.46,0,733.84
PED-00253,CLI-0068,2026-06-03,marketplace,esporte,2,218.26,15,371.04
PED-00254,CLI-0151,2026-03-21,app,beleza,3,27.45,0,82.35
PED-00255,CLI-0184,2025-03-11,loja,casa,6,379.23,0,2275.38
PED-00256,CLI-0412,2026-07-01,marketplace,eletrônicos,2,577.64,15,981.99
PED-00257,CLI-0473,2025-06-29,loja,beleza,4,579.26,0,2317.04
PED-00258,CLI-0191,2026-08-05,loja,casa,3,552.46,0,1657.38
PED-00259,CLI-0533,2026-03-01,loja,casa,3,181.14,15,461.91
PED-00260,CLI-0520,2026-03-16,site,eletrônicos,6,479.14,5,2731.1
PED-00261,CLI-0227,2025-03-18,site,esporte,3,512.95,0,1538.85
PED-00262,CLI-0026,2025-09-21,loja,beleza,1,400.36,10,360.32
PED-00263,CLI-0325,2026-05-27,loja,beleza,4,71.83,0,287.32
PED-00264,CLI-0171,2025-02-27,marketplace,beleza,6,593.02,15,3024.4
PED-00265,CLI-0591,2026-05-06,site,casa,5,50.95,0,254.75
PED-00266,CLI-0242,2025-01-17,marketplace,casa,6,479.19,5,2731.38
PED-00267,CLI-0407,2025-04-30,marketplace,eletrônicos,4,130.86,15,444.92
PED-00268,CLI-0305,2025-08-10,site,beleza,2,138.25,10,248.85
PED-00269,CLI-0582,2025-01-07,marketplace,esporte,2,411.41,0,822.82
PED-00270,CLI-0585,2025-08-21,app,beleza,6,305.8,20,1467.84
PED-00271,CLI-0355,2026-01-03,site,beleza,4,556.92,0,2227.68
PED-00272,CLI-0088,2025-05-30,site,eletrônicos,3,472.92,0,1418.76
PED-00273,CLI-0467,2026-05-06,site,casa,6,154.87,5,882.76
PED-00274,CLI-0403,2026-06-25,marketplace,esporte,4,111.8,0,447.2
PED-00275,CLI-0299,2025-04-17,app,casa,1,119.32,10,107.39
PED-00276,CLI-0044,2025-08-01,loja,esporte,1,521.38,10,469.24
PED-00277,CLI-0150,2025-09-13,app,livros,1,487.65,10,438.88
PED-00278,CLI-0176,2026-07-27,site,eletrônicos,2,341.13,0,682.26
PED-00279,CLI-0208,2026-04-29,site,casa,6,470.59,10,2541.19
PED-00280,CLI-0298,2026-03-28,loja,casa,2,470.68,0,941.36
PED-00281,CLI-0066,2025-07-08,marketplace,eletrônicos,1,316.26,0,316.26
PED-00282,CLI-0260,2026-07-18,site,esporte,3,105.04,5,299.36
PED-00283,CLI-0215,2025-06-14,marketplace,livros,4,405.46,5,1540.75
PED-00284,CLI-0336,2025-03-09,loja,livros,2,412.81,15,701.78
PED-00285,CLI-0373,2025-04-04,site,eletrônicos,6,466.32,0,2797.92
PED-00286,CLI-0551,2026-06-10,loja,casa,1,408.86,15,347.53
PED-00287,CLI-0049,2025-05-12,site,casa,4,572.34,0,2289.36
PED-00288,CLI-0133,2026-03-05,app,livros,1,647.49,0,647.49
PED-00289,CLI-0237,2025-02-09,site,casa,2,489.36,10,880.85
PED-00290,CLI-0282,2025-10-06,app,esporte,6,107.96,20,518.21
PED-00291,CLI-0587,2025-12-05,app,beleza,2,380.97,5,723.84
PED-00292,CLI-0406,2025-01-31,app,eletrônicos,5,88.69,5,421.28
PED-00293,CLI-0572,2026-03-09,marketplace,livros,4,404.92,20,1295.74
PED-00294,CLI-0261,2025-01-10,loja,livros,2,148.41,0,296.82
PED-00295,CLI-0102,2025-09-16,marketplace,esporte,1,613.89,5,583.2
PED-00296,CLI-0560,2025-09-28,loja,livros,5,311.44,0,1557.2
PED-00297,CLI-0098,2025-12-06,marketplace,esporte,5,35.36,0,176.8
PED-00298,CLI-0175,2025-11-03,site,beleza,2,384.63,5,730.8
PED-00299,CLI-0007,2025-05-13,loja,eletrônicos,3,78.6,0,235.8
PED-00300,CLI-0426,2026-02-22,site,casa,5,380.23,15,1615.98
PED-00301,CLI-0340,2025-05-06,loja,casa,3,546.64,15,1393.93
PED-00302,CLI-0566,2025-09-08,site,livros,6,120.79,15,616.03
PED-00303,CLI-0456,2026-05-31,loja,casa,5,140.04,5,665.19
PED-00304,CLI-0314,2025-12-25,marketplace,esporte,3,485.79,15,1238.76
PED-00305,CLI-0204,2025-06-28,loja,eletrônicos,3,489.57,15,1248.4
PED-00306,CLI-0163,2025-04-20,loja,livros,1,91.19,0,91.19
PED-00307,CLI-0475,2026-06-03,marketplace,beleza,6,293.17,0,1759.02
PED-00308,CLI-0227,2026-07-20,site,esporte,5,129.97,0,649.85
PED-00309,CLI-0021,2025-10-10,loja,livros,5,389.34,0,1946.7
PED-00310,CLI-0483,2026-07-01,site,beleza,5,22.42,20,89.68
PED-00311,CLI-0317,2026-03-19,app,casa,1,523.14,20,418.51
PED-00312,CLI-0303,2025-08-14,loja,beleza,3,623.0,0,1869.0
PED-00313,CLI-0362,2025-07-05,marketplace,esporte,1,224.02,20,179.22
PED-00314,CLI-0091,2025-11-25,site,casa,4,331.42,10,1193.11
PED-00315,CLI-0019,2026-04-05,loja,livros,5,522.01,0,2610.05
PED-00316,CLI-0257,2026-04-24,loja,eletrônicos,4,632.03,5,2401.71
PED-00317,CLI-0366,2025-03-31,marketplace,eletrônicos,4,18.36,10,66.1
PED-00318,CLI-0186,2025-04-22,site,casa,3,434.68,0,1304.04
PED-00319,CLI-0385,2025-07-26,site,eletrônicos,4,466.29,10,1678.64
PED-00320,CLI-0073,2026-06-11,app,beleza,2,190.09,5,361.17
PED-00321,CLI-0233,2026-08-15,site,esporte,5,388.8,15,1652.4
PED-00322,CLI-0120,2025-10-15,app,beleza,4,588.38,15,2000.49
PED-00323,CLI-0130,2026-05-06,marketplace,eletrônicos,5,576.6,20,2306.4
PED-00324,CLI-0226,2025-12-03,app,beleza,6,266.97,0,1601.82
PED-00325,CLI-0362,2026-05-13,app,beleza,6,359.91,10,1943.51
PED-00326,CLI-0525,2026-01-10,marketplace,beleza,6,424.19,10,2290.63
PED-00327,CLI-0241,2025-04-18,marketplace,esporte,5,506.52,0,2532.6
PED-00328,CLI-0009,2025-09-06,site,esporte,1,467.84,10,421.06
PED-00329,CLI-0597,2025-08-31,loja,livros,4,389.23,10,1401.23
PED-00330,CLI-0259,2025-11-17,loja,livros,4,450.28,15,1530.95
PED-00331,CLI-0175,2025-04-23,marketplace,casa,1,303.6,10,273.24
PED-00332,CLI-0292,2026-01-30,app,livros,6,505.39,0,3032.34
PED-00333,CLI-0401,2026-04-08,site,livros,3,645.9,0,1937.7
PED-00334,CLI-0215,2025-09-13,loja,beleza,3,384.4,10,1037.88
PED-00335,CLI-0587,2025-02-25,marketplace,livros,4,531.42,15,1806.83
PED-00336,CLI-0229,2026-06-03,marketplace,livros,3,302.68,20,726.43
PED-00337,CLI-0074,2026-03-03,marketplace,esporte,6,641.29,10,3462.97
PED-00338,CLI-0314,2026-06-23,site,esporte,3,647.47,0,1942.41
PED-00339,CLI-0101,2025-08-04,marketplace,esporte,1,647.52,15,550.39
PED-00340,CLI-0198,2026-02-02,loja,eletrônicos,1,574.26,15,488.12
PED-00341,CLI-0398,2025-01-03,app,casa,4,338.97,0,1355.88
PED-00342,CLI-0330,2025-07-15,loja,eletrônicos,2,470.19,10,846.34
PED-00343,CLI-0349,2025-08-30,app,beleza,2,276.36,10,497.45
PED-00344,CLI-0192,2025-12-08,app,eletrônicos,6,502.0,15,2560.2
PED-00345,CLI-0201,2025-05-22,app,esporte,6,524.33,0,3145.98
PED-00346,CLI-0339,2025-09-01,site,livros,3,456.83,15,1164.92
PED-00347,CLI-0055,2026-04-07,app,casa,2,183.89,15,312.61
PED-00348,CLI-0077,2025-05-12,loja,esporte,2,187.27,5,355.81
PED-00349,CLI-0366,2025-12-04,loja,livros,1,387.82,15,329.65
PED-00350,CLI-0153,2025-12-19,site,eletrônicos,6,303.34,0,1820.04
