data,consumo_mwh,temperatura_c,feriado
2024-06-20,563.46,27.6,0
2024-06-21,556.7,25.7,0
2024-06-22,536.83,26.0,0
2024-06-23,552.28,27.6,0
2024-06-24,533.87,23.8,0
2024-06-25,555.04,26.3,0
2024-06-26,548.99,27.4,0
2024-06-27,532.42,25.3,0
2024-06-28,576.48,27.5,0
2024-06-29,483.61,24.0,0
2024-06-30,518.79,24.7,0
2024-07-01,558.44,26.0,0
2024-07-02,537.14,25.0,0
2024-07-03,521.49,24.8,0
2024-07-04,532.8,26.5,0
2024-07-05,531.95,25.2,0
2024-07-06,494.29,27.4,0
2024-07-07,471.99,25.0,0
2024-07-08,530.08,25.6,0
2024-07-09,523.31,23.9,0
2024-07-10,541.8,25.0,0
2024-07-11,567.45,25.4,0
2024-07-12,533.68,26.8,0
2024-07-13,500.2,23.1,0
2024-07-14,531.69,25.7,0
2024-07-15,526.03,25.4,0
2024-07-16,547.78,26.0,0
2024-07-17,565.82,24.8,0
2024-07-18,556.03,24.9,0
2024-07-19,538.64,20.6,0
2024-07-20,483.01,27.0,0
2024-07-21,479.59,24.2,0
2024-07-22,530.41,22.8,0
2024-07-23,540.9,23.1,0
2024-07-24,535.79,24.8,0
2024-07-25,549.6,25.6,0
2024-07-26,523.73,23.4,0
2024-07-27,503.88,24.6,0
2024-07-28,507.36,23.7,0
2024-07-29,492.73,23.1,0
2024-07-30,555.29,23.8,0
2024-07-31,532.71,22.8,0
2024-08-01,513.14,23.6,0
2024-08-02,513.29,23.9,0
2024-08-03,519.99,21.9,0
2024-08-04,510.65,22.5,0
2024-08-05,540.9,22.0,0
2024-08-06,523.54,23.4,0
2024-08-07,498.0,25.2,0
2024-08-08,510.5,20.9,0
2024-08-09,508.09,19.4,0
2024-08-10,484.65,21.8,0
2024-08-11,500.55,25.1,0
2024-08-12,507.62,23.5,0
2024-08-13,546.04,20.2,0
2024-08-14,496.88,21.5,0
2024-08-15,481.57,22.6,0
2024-08-16,554.71,22.7,0
2024-08-17,489.01,27.2,0
2024-08-18,473.17,21.6,0
2024-08-19,543.26,20.1,0
2024-08-20,501.97,24.0,0
2024-08-21,522.03,24.2,0
2024-08-22,519.16,21.4,0
2024-08-23,516.44,23.0,0
2024-08-24,519.33,21.2,0
2024-08-25,464.17,22.5,0
2024-08-26,502.81,21.0,0
2024-08-27,514.28,23.1,0
2024-08-28,527.1,20.5,0
2024-08-29,514.95,22.0,0
2024-08-30,511.76,21.5,0
2024-08-31,499.87,23.7,0
2024-09-01,502.79,21.9,0
2024-09-02,503.93,20.8,0
2024-09-03,520.18,23.0,0
2024-09-04,525.69,20.8,0
2024-09-05,524.26,18.9,0
2024-09-06,505.87,20.8,0
2024-09-07,481.57,21.0,1
2024-09-08,485.18,21.0,0
2024-09-09,504.89,21.2,0
2024-09-10,503.82,23.6,0
2024-09-11,532.62,23.2,0
2024-09-12,504.94,19.6,0
2024-09-13,519.78,22.2,0
2024-09-14,496.82,21.3,0
2024-09-15,455.32,21.3,0
2024-09-16,523.03,21.2,0
2024-09-17,519.9,22.5,0
2024-09-18,533.28,19.8,0
2024-09-19,523.62,21.8,0
2024-09-20,526.74,22.1,0
2024-09-21,502.82,21.0,0
2024-09-22,495.0,20.1,0
2024-09-23,529.27,20.1,0
2024-09-24,512.18,21.5,0
2024-09-25,478.89,24.2,0
2024-09-26,508.41,21.2,0
2024-09-27,514.21,19.6,0
2024-09-28,486.54,21.8,0
2024-09-29,486.65,22.1,0
2024-09-30,513.27,18.5,0
2024-10-01,493.83,22.4,0
2024-10-02,534.19,22.8,0
2024-10-03,545.18,20.1,0
2024-10-04,485.04,20.1,0
2024-10-05,461.97,22.2,0
2024-10-06,458.93,24.5,0
2024-10-07,516.71,21.5,0
2024-10-08,521.59,19.6,0
2024-10-09,493.89,22.9,0
2024-10-10,551.3,14.0,0
2024-10-11,500.78,22.5,0
2024-10-12,490.01,19.5,0
2024-10-13,481.35,21.6,0
2024-10-14,512.88,22.8,0
2024-10-15,513.91,20.4,0
2024-10-16,536.65,18.4,0
2024-10-17,504.75,24.2,0
2024-10-18,524.57,19.1,0
2024-10-19,471.14,20.6,0
2024-10-20,509.6,18.8,0
2024-10-21,506.79,20.8,0
2024-10-22,513.76,21.4,0
2024-10-23,493.57,21.0,0
2024-10-24,516.86,20.5,0
2024-10-25,518.18,24.1,0
2024-10-26,500.6,23.7,0
2024-10-27,494.62,22.5,0
2024-10-28,539.48,20.5,0
2024-10-29,513.39,18.6,0
2024-10-30,507.19,23.6,0
2024-10-31,478.03,20.6,0
2024-11-01,531.85,19.9,0
2024-11-02,491.58,21.4,0
2024-11-03,477.88,23.6,0
2024-11-04,525.75,24.2,0
2024-11-05,524.79,21.9,0
2024-11-06,527.2,21.0,0
2024-11-07,539.07,21.6,0
2024-11-08,541.25,20.2,0
2024-11-09,463.38,21.3,0
2024-11-10,497.02,26.0,0
2024-11-11,520.64,23.0,0
2024-11-12,506.45,23.1,0
2024-11-13,528.91,20.0,0
2024-11-14,513.04,18.9,0
2024-11-15,504.15,21.2,0
2024-11-16,493.33,20.9,0
2024-11-17,513.68,19.5,0
2024-11-18,521.9,22.4,0
2024-11-19,514.94,24.3,0
2024-11-20,553.22,22.2,0
2024-11-21,512.62,25.1,0
2024-11-22,544.57,23.2,0
2024-11-23,546.46,21.0,0
2024-11-24,507.94,22.2,0
2024-11-25,512.81,23.6,0
2024-11-26,535.81,25.7,0
2024-11-27,531.0,26.3,0
2024-11-28,543.28,22.6,0
2024-11-29,536.54,21.6,0
2024-11-30,489.51,24.2,0
2024-12-01,521.71,22.2,0
2024-12-02,523.71,23.2,0
2024-12-03,525.52,24.3,0
2024-12-04,524.57,23.9,0
2024-12-05,533.67,25.1,0
2024-12-06,535.69,22.7,0
2024-12-07,520.17,22.1,0
2024-12-08,463.42,21.8,0
2024-12-09,529.52,25.8,0
2024-12-10,525.14,27.2,0
2024-12-11,567.32,27.0,0
2024-12-12,549.64,24.9,0
2024-12-13,551.68,28.0,0
2024-12-14,491.52,26.1,0
2024-12-15,515.43,29.0,0
2024-12-16,544.58,22.8,0
2024-12-17,549.42,22.7,0
2024-12-18,525.73,22.6,0
2024-12-19,557.81,25.3,0
2024-12-20,542.57,24.3,0
2024-12-21,537.04,27.1,0
2024-12-22,521.82,26.4,0
2024-12-23,556.93,23.9,0
2024-12-24,547.06,26.8,0
2024-12-25,537.55,23.8,1
2024-12-26,541.75,25.4,0
2024-12-27,567.42,25.2,0
2024-12-28,517.81,27.2,0
2024-12-29,531.46,29.1,0
2024-12-30,542.13,26.0,0
2024-12-31,531.8,26.9,0
2025-01-01,546.37,26.4,1
2025-01-02,551.26,24.7,0
2025-01-03,527.57,28.9,0
2025-01-04,534.02,26.5,0
2025-01-05,506.16,26.9,0
2025-01-06,557.54,25.3,0
2025-01-07,550.71,27.4,0
2025-01-08,562.27,25.3,0
2025-01-09,534.73,30.2,0
2025-01-10,569.2,25.4,0
2025-01-11,537.45,26.5,0
2025-01-12,512.32,24.5,0
2025-01-13,544.8,27.0,0
2025-01-14,566.89,28.8,0
2025-01-15,534.84,27.8,0
2025-01-16,592.94,27.7,0
2025-01-17,539.9,27.1,0
2025-01-18,533.81,28.7,0
2025-01-19,546.96,29.2,0
2025-01-20,550.62,29.3,0
2025-01-21,571.39,27.7,0
2025-01-22,552.54,29.2,0
2025-01-23,523.4,27.4,0
2025-01-24,587.53,26.0,0
2025-01-25,535.7,28.8,0
2025-01-26,535.04,27.7,0
2025-01-27,575.43,27.9,0
2025-01-28,564.51,30.1,0
2025-01-29,564.17,26.2,0
2025-01-30,572.48,26.6,0
2025-01-31,557.45,28.8,0
2025-02-01,513.89,31.5,0
2025-02-02,547.43,26.8,0
2025-02-03,572.81,26.8,0
2025-02-04,575.57,30.2,0
2025-02-05,574.76,29.7,0
2025-02-06,587.96,30.0,0
2025-02-07,579.53,29.8,0
2025-02-08,542.47,26.9,0
2025-02-09,558.07,29.1,0
2025-02-10,586.45,29.3,0
2025-02-11,579.17,26.8,0
2025-02-12,578.56,28.1,0
2025-02-13,555.11,28.4,0
2025-02-14,561.68,30.7,0
2025-02-15,546.97,30.7,0
2025-02-16,527.43,29.9,0
2025-02-17,598.28,29.3,0
2025-02-18,605.68,31.8,0
2025-02-19,595.29,28.9,0
2025-02-20,596.28,31.9,0
2025-02-21,560.72,27.4,0
2025-02-22,551.76,29.1,0
2025-02-23,563.83,30.8,0
2025-02-24,586.66,32.3,0
2025-02-25,568.96,31.7,0
2025-02-26,582.08,34.3,0
2025-02-27,595.91,31.2,0
2025-02-28,587.37,30.5,0
2025-03-01,554.3,32.4,0
2025-03-02,576.38,31.6,0
2025-03-03,584.62,28.4,0
2025-03-04,602.99,30.6,0
2025-03-05,565.43,35.8,0
2025-03-06,568.26,30.8,0
2025-03-07,580.42,29.3,0
2025-03-08,553.72,30.6,0
2025-03-09,551.28,29.3,0
2025-03-10,601.24,31.7,0
2025-03-11,603.48,31.7,0
2025-03-12,577.72,29.0,0
2025-03-13,571.9,28.9,0
2025-03-14,552.94,29.8,0
2025-03-15,522.04,29.0,0
2025-03-16,584.75,30.7,0
2025-03-17,619.69,27.9,0
2025-03-18,594.9,27.8,0
2025-03-19,575.89,29.1,0
2025-03-20,584.65,33.2,0
2025-03-21,587.93,32.5,0
2025-03-22,565.91,29.3,0
2025-03-23,549.17,30.8,0
2025-03-24,614.46,29.9,0
2025-03-25,597.78,31.3,0
2025-03-26,582.57,33.0,0
2025-03-27,608.24,32.6,0
2025-03-28,573.25,33.7,0
2025-03-29,545.54,28.2,0
2025-03-30,559.04,29.7,0
2025-03-31,612.27,31.9,0
2025-04-01,585.05,31.0,0
2025-04-02,583.42,29.7,0
2025-04-03,537.04,31.3,0
2025-04-04,581.29,36.1,0
2025-04-05,570.97,29.1,0
2025-04-06,571.3,30.9,0
2025-04-07,543.13,33.1,0
2025-04-08,596.1,30.3,0
2025-04-09,599.63,30.9,0
2025-04-10,577.4,31.7,0
2025-04-11,570.94,31.6,0
2025-04-12,549.65,31.6,0
2025-04-13,536.78,31.7,0
2025-04-14,565.19,29.9,0
2025-04-15,577.25,31.0,0
2025-04-16,597.4,27.8,0
2025-04-17,572.41,31.3,0
2025-04-18,575.64,26.1,0
2025-04-19,570.34,34.2,0
2025-04-20,548.94,28.4,0
2025-04-21,583.18,28.9,0
2025-04-22,568.31,29.7,0
2025-04-23,562.64,32.0,0
2025-04-24,580.69,33.3,0
2025-04-25,576.8,29.8,0
2025-04-26,563.12,34.2,0
2025-04-27,535.74,32.1,0
2025-04-28,578.05,28.7,0
2025-04-29,593.81,28.9,0
2025-04-30,592.52,26.6,0
2025-05-01,570.59,30.3,0
2025-05-02,575.59,32.0,0
2025-05-03,547.55,26.6,0
2025-05-04,549.05,31.0,0
2025-05-05,552.45,27.2,0
2025-05-06,567.57,30.1,0
2025-05-07,560.21,29.5,0
2025-05-08,595.36,26.3,0
2025-05-09,587.9,31.4,0
2025-05-10,532.85,29.3,0
2025-05-11,566.04,32.5,0
2025-05-12,593.92,28.7,0
2025-05-13,579.24,31.2,0
2025-05-14,576.83,30.7,0
2025-05-15,588.92,28.1,0
2025-05-16,574.75,28.8,0
2025-05-17,579.41,29.2,0
2025-05-18,556.56,30.9,0
2025-05-19,599.19,28.8,0
2025-05-20,609.27,27.3,0
2025-05-21,580.09,26.4,0
2025-05-22,594.92,28.8,0
2025-05-23,554.73,30.8,0
2025-05-24,546.38,29.0,0
2025-05-25,556.51,27.2,0
2025-05-26,593.41,24.8,0
2025-05-27,569.81,30.8,0
2025-05-28,583.43,29.4,0
2025-05-29,552.28,26.6,0
2025-05-30,592.33,27.8,0
2025-05-31,534.18,29.7,0
2025-06-01,557.84,30.0,0
2025-06-02,574.39,27.6,0
2025-06-03,580.8,26.6,0
2025-06-04,604.04,27.8,0
2025-06-05,586.95,25.8,0
2025-06-06,578.7,31.2,0
2025-06-07,535.54,26.9,0
2025-06-08,537.17,27.6,0
2025-06-09,556.88,25.0,0
2025-06-10,560.45,27.2,0
2025-06-11,573.36,27.3,0
2025-06-12,582.41,27.0,0
2025-06-13,558.23,28.8,0
2025-06-14,532.0,29.1,0
2025-06-15,522.89,25.7,0
2025-06-16,589.82,26.8,0
2025-06-17,553.35,24.9,0
2025-06-18,565.54,24.0,0
2025-06-19,538.68,29.3,0
2025-06-20,556.39,28.3,0
2025-06-21,539.38,29.7,0
2025-06-22,535.04,23.4,0
2025-06-23,577.54,28.3,0
2025-06-24,565.26,26.7,0
2025-06-25,546.63,27.3,0
2025-06-26,584.73,28.9,0
2025-06-27,570.32,23.0,0
2025-06-28,523.52,25.3,0
2025-06-29,542.29,27.1,0
2025-06-30,582.39,26.5,0
2025-07-01,550.84,28.7,0
2025-07-02,544.14,27.4,0
2025-07-03,540.16,24.7,0
2025-07-04,552.63,27.0,0
2025-07-05,513.17,22.3,0
2025-07-06,507.73,27.2,0
2025-07-07,537.15,26.1,0
2025-07-08,562.16,24.0,0
2025-07-09,550.62,25.6,0
2025-07-10,540.5,24.8,0
2025-07-11,568.44,25.2,0
2025-07-12,513.07,26.0,0
2025-07-13,511.43,24.9,0
2025-07-14,535.1,23.1,0
2025-07-15,535.07,23.8,0
2025-07-16,528.17,26.5,0
2025-07-17,521.77,23.8,0
2025-07-18,574.98,23.3,0
2025-07-19,530.82,25.9,0
2025-07-20,508.14,26.5,0
2025-07-21,543.15,25.8,0
2025-07-22,562.33,24.5,0
2025-07-23,547.56,25.7,0
2025-07-24,531.17,24.7,0
2025-07-25,561.26,26.3,0
2025-07-26,528.63,25.6,0
2025-07-27,514.15,25.8,0
2025-07-28,551.67,24.2,0
2025-07-29,523.11,20.6,0
2025-07-30,542.54,24.0,0
2025-07-31,533.14,22.4,0
2025-08-01,548.85,27.7,0
2025-08-02,507.59,22.7,0
2025-08-03,526.27,28.8,0
2025-08-04,535.95,21.7,0
2025-08-05,518.37,24.1,0
2025-08-06,542.86,23.2,0
2025-08-07,544.25,24.7,0
2025-08-08,543.6,19.5,0
2025-08-09,499.03,22.6,0
2025-08-10,506.58,24.6,0
2025-08-11,540.28,24.6,0
2025-08-12,517.2,23.4,0
2025-08-13,543.2,25.3,0
2025-08-14,525.61,21.2,0
2025-08-15,539.59,22.4,0
2025-08-16,517.18,23.5,0
2025-08-17,465.46,23.6,0
2025-08-18,555.13,22.3,0
2025-08-19,540.78,19.8,0
2025-08-20,516.22,19.9,0
2025-08-21,530.57,21.2,0
2025-08-22,542.63,20.8,0
2025-08-23,502.8,22.8,0
2025-08-24,488.94,22.8,0
2025-08-25,534.74,19.6,0
2025-08-26,536.8,22.6,0
2025-08-27,537.36,20.6,0
2025-08-28,529.61,22.2,0
2025-08-29,542.59,24.2,0
2025-08-30,508.94,20.8,0
2025-08-31,492.96,23.9,0
2025-09-01,528.08,20.7,0
2025-09-02,537.92,19.9,0
2025-09-03,492.28,19.6,0
2025-09-04,529.51,23.3,0
2025-09-05,500.64,21.7,0
2025-09-06,467.19,21.0,0
2025-09-07,480.63,20.0,1
2025-09-08,525.57,21.2,0
2025-09-09,528.96,19.2,0
2025-09-10,530.84,25.3,0
2025-09-11,540.06,21.2,0
2025-09-12,515.03,20.9,0
2025-09-13,473.48,19.7,0
2025-09-14,506.78,20.3,0
2025-09-15,538.38,21.7,0
2025-09-16,521.39,23.1,0
2025-09-17,527.92,21.7,0
2025-09-18,534.52,22.3,0
2025-09-19,520.59,22.0,0
2025-09-20,490.19,20.8,0
2025-09-21,485.7,20.3,0
2025-09-22,529.9,20.1,0
2025-09-23,491.11,21.6,0
2025-09-24,482.23,22.4,0
2025-09-25,533.67,20.1,0
2025-09-26,534.0,22.0,0
2025-09-27,498.8,19.7,0
2025-09-28,451.96,19.6,0
2025-09-29,529.05,20.8,0
2025-09-30,517.7,23.0,0
2025-10-01,505.43,19.4,0
2025-10-02,524.02,20.7,0
2025-10-03,516.56,19.6,0
2025-10-04,477.8,21.1,0
2025-10-05,509.53,19.7,0
2025-10-06,535.93,21.2,0
2025-10-07,513.09,19.0,0
2025-10-08,537.27,19.0,0
2025-10-09,532.54,22.5,0
2025-10-10,543.32,20.7,0
2025-10-11,455.14,17.2,0
2025-10-12,520.92,21.0,0
2025-10-13,518.49,23.7,0
2025-10-14,517.28,22.0,0
2025-10-15,528.4,19.1,0
2025-10-16,507.86,21.4,0
2025-10-17,534.12,22.9,0
2025-10-18,472.19,22.4,0
2025-10-19,491.7,21.1,0
2025-10-20,551.21,19.4,0
2025-10-21,529.73,19.5,0
2025-10-22,530.48,20.5,0
2025-10-23,539.27,21.4,0
2025-10-24,528.34,19.5,0
2025-10-25,489.53,24.6,0
2025-10-26,485.96,21.3,0
2025-10-27,517.28,20.3,0
2025-10-28,510.16,24.0,0
2025-10-29,514.37,20.8,0
2025-10-30,532.7,20.4,0
2025-10-31,519.07,26.1,0
2025-11-01,511.01,18.6,0
2025-11-02,524.39,21.2,0
2025-11-03,530.12,22.7,0
2025-11-04,523.48,20.4,0
2025-11-05,551.89,22.6,0
2025-11-06,539.47,22.1,0
2025-11-07,542.37,24.0,0
2025-11-08,504.05,23.4,0
2025-11-09,484.71,22.0,0
2025-11-10,559.35,20.6,0
2025-11-11,510.05,20.4,0
2025-11-12,516.24,25.1,0
2025-11-13,530.4,23.7,0
2025-11-14,524.63,24.1,0
2025-11-15,491.18,20.8,0
2025-11-16,513.82,22.7,0
2025-11-17,543.41,23.7,0
2025-11-18,567.89,24.7,0
2025-11-19,547.99,23.8,0
2025-11-20,571.51,21.6,0
2025-11-21,549.85,23.9,0
2025-11-22,491.92,23.5,0
2025-11-23,507.88,26.2,0
2025-11-24,522.67,23.5,0
2025-11-25,548.96,23.0,0
2025-11-26,549.31,21.3,0
2025-11-27,553.16,20.6,0
2025-11-28,557.96,20.8,0
2025-11-29,517.97,24.6,0
2025-11-30,515.65,25.1,0
2025-12-01,565.72,22.6,0
2025-12-02,548.43,23.4,0
2025-12-03,534.66,23.2,0
2025-12-04,540.06,25.4,0
2025-12-05,535.56,25.1,0
2025-12-06,529.04,21.5,0
2025-12-07,528.14,26.1,0
2025-12-08,561.65,21.6,0
2025-12-09,532.81,26.4,0
2025-12-10,549.91,24.5,0
2025-12-11,563.13,25.0,0
2025-12-12,526.93,21.2,0
2025-12-13,555.66,24.3,0
2025-12-14,511.66,22.3,0
2025-12-15,547.5,25.4,0
2025-12-16,551.96,31.5,0
2025-12-17,531.62,27.6,0
2025-12-18,544.36,26.3,0
2025-12-19,583.17,26.3,0
2025-12-20,530.08,23.9,0
2025-12-21,527.96,23.7,0
2025-12-22,575.31,25.0,0
2025-12-23,564.21,26.6,0
2025-12-24,556.2,24.8,0
2025-12-25,535.9,23.5,1
2025-12-26,550.54,25.5,0
2025-12-27,565.06,25.3,0
2025-12-28,541.8,26.7,0
2025-12-29,565.85,27.4,0
2025-12-30,570.65,29.5,0
