cliente_id,cidade,plano,canal_aquisicao,mensalidade,nps,chamados_90d,atraso_dias,tempo_cliente_meses,data_ativacao,churn,data_cancelamento,motivo_cancelamento,status_atual
CLI-0021,Eunápolis,Básico 100,telefone,82.41,6,1,0,13,2025-06-14,0,,,ativo
CLI-0022,Ilhéus,Gamer 700,site,202.21,9,0,0,41,2023-03-04,0,,,ativo
CLI-0023,Vitória da Conquista,Gamer 700,site,194.01,8,3,0,10,2025-09-20,0,,,ativo
CLI-0024,Salvador,Básico 100,indicação,77.06,4,0,10,1,2026-06-11,0,,,ativo
CLI-0025,Eunápolis,Básico 100,loja,75.36,5,3,0,21,2024-11-04,0,,,ativo
CLI-0026,Vitória da Conquista,Casa 300,site,111.16,7,4,0,25,2024-06-13,0,,,ativo
CLI-0027,Feira de Santana,Casa 300,telefone,107.46,10,3,5,38,2023-05-23,0,,,ativo
CLI-0028,Ilhéus,Casa 300,indicação,120.03,4,1,5,15,2025-04-29,0,,,ativo
CLI-0029,Vitória da Conquista,Básico 100,loja,86.22,10,0,20,32,2023-12-07,0,,,ativo
CLI-0030,Feira de Santana,Família 500,telefone,157.56,8,3,10,48,2022-07-31,0,,,ativo
CLI-0031,Salvador,Básico 100,telefone,79.13,9,0,0,10,2025-09-19,0,,,ativo
CLI-0032,Salvador,Básico 100,loja,77.7,9,4,0,41,2023-03-18,0,,,ativo
CLI-0033,Eunápolis,Básico 100,indicação,81.88,10,1,5,23,2024-08-15,0,,,ativo
CLI-0034,Vitória da Conquista,Básico 100,indicação,78.74,8,2,0,32,2023-11-23,0,,,ativo
CLI-0035,Ilhéus,Gamer 700,loja,204.12,5,0,5,6,2026-01-10,1,2026-06-19,instabilidade,cancelado
CLI-0036,Ilhéus,Família 500,loja,144.35,8,3,20,49,2022-07-20,0,,,ativo
CLI-0037,Ilhéus,Casa 300,site,115.34,7,0,0,3,2026-04-23,0,,,ativo
CLI-0038,Eunápolis,Empresa 1000,indicação,286.69,7,3,0,22,2024-09-12,0,,,ativo
CLI-0039,Eunápolis,Família 500,loja,148.0,10,0,10,49,2022-07-21,0,,,ativo
CLI-0040,Salvador,Família 500,indicação,144.19,5,0,5,31,2023-12-31,0,,,ativo
CLI-0041,Vitória da Conquista,Casa 300,loja,110.51,10,1,5,4,2026-03-13,0,,,ativo
CLI-0042,Feira de Santana,Gamer 700,loja,217.52,4,2,20,41,2023-03-13,0,,,ativo
CLI-0043,Salvador,Básico 100,indicação,87.37,2,5,0,39,2023-05-07,0,,,ativo
CLI-0044,Ilhéus,Família 500,loja,143.54,8,1,0,29,2024-03-01,0,,,ativo
CLI-0045,Salvador,Básico 100,site,79.46,6,1,20,47,2022-09-06,0,,,ativo
CLI-0046,Eunápolis,Família 500,indicação,158.21,5,3,20,15,2025-04-12,0,,,ativo
CLI-0047,Vitória da Conquista,Família 500,site,163.11,5,3,0,35,2023-08-29,0,,,ativo
CLI-0048,Feira de Santana,Família 500,indicação,156.93,4,5,0,44,2022-12-18,1,2026-06-13,instabilidade,cancelado
CLI-0049,Ilhéus,Família 500,loja,155.71,6,3,20,37,2023-07-03,1,2026-07-24,atendimento,cancelado
CLI-0050,Feira de Santana,Gamer 700,loja,184.42,8,2,0,23,2024-08-24,0,,,ativo
CLI-0051,Eunápolis,Gamer 700,site,208.35,3,2,20,39,2023-04-24,0,,,ativo
CLI-0052,Eunápolis,Casa 300,telefone,120.22,5,0,0,35,2023-09-01,0,,,ativo
CLI-0053,Vitória da Conquista,Empresa 1000,telefone,282.75,5,2,0,33,2023-11-07,0,,,ativo
CLI-0054,Ilhéus,Básico 100,indicação,81.56,10,1,0,27,2024-04-30,0,,,ativo
CLI-0055,Eunápolis,Empresa 1000,loja,307.26,6,3,5,20,2024-11-24,0,,,ativo
CLI-0056,Feira de Santana,Empresa 1000,site,293.55,6,1,0,42,2023-02-13,0,,,ativo
CLI-0057,Ilhéus,Casa 300,telefone,103.13,8,2,0,29,2024-03-03,0,,,ativo
CLI-0058,Ilhéus,Básico 100,telefone,83.84,5,5,35,15,2025-05-07,0,,,ativo
CLI-0059,Vitória da Conquista,Família 500,loja,146.35,5,3,20,47,2022-08-28,1,2026-07-21,instabilidade,cancelado
CLI-0060,Feira de Santana,Casa 300,loja,107.38,7,3,0,46,2022-09-27,0,,,ativo
CLI-0061,Feira de Santana,Família 500,indicação,141.92,7,1,0,27,2024-04-20,1,2026-07-16,instabilidade,cancelado
CLI-0062,Eunápolis,Casa 300,indicação,119.07,8,1,0,36,2023-08-10,1,2026-06-05,instabilidade,cancelado
CLI-0063,Feira de Santana,Empresa 1000,loja,329.34,7,2,35,11,2025-08-07,0,,,ativo
CLI-0064,Salvador,Empresa 1000,site,298.59,7,5,0,41,2023-03-11,0,,,ativo
CLI-0065,Salvador,Básico 100,loja,81.81,8,1,20,49,2022-07-11,0,,,ativo
CLI-0066,Salvador,Gamer 700,indicação,192.77,8,3,0,7,2026-01-03,0,,,ativo
CLI-0067,Vitória da Conquista,Básico 100,indicação,79.06,5,2,60,38,2023-06-03,0,,,ativo
CLI-0068,Salvador,Casa 300,telefone,115.92,10,2,20,20,2024-11-21,0,,,ativo
CLI-0069,Salvador,Casa 300,telefone,108.05,5,5,0,32,2023-12-09,1,2026-07-08,mudança,cancelado
CLI-0070,Salvador,Gamer 700,telefone,213.68,4,3,0,43,2022-12-21,0,,,ativo
CLI-0071,Vitória da Conquista,Casa 300,loja,105.74,7,1,35,17,2025-03-09,0,,,ativo
CLI-0072,Ilhéus,Casa 300,indicação,105.25,4,3,20,1,2026-06-18,0,,,ativo
CLI-0073,Ilhéus,Gamer 700,telefone,191.42,6,2,0,19,2024-12-22,0,,,ativo
CLI-0074,Vitória da Conquista,Gamer 700,site,198.32,3,3,0,44,2022-12-03,0,,,ativo
CLI-0075,Ilhéus,Casa 300,loja,103.87,10,2,10,48,2022-07-27,0,,,ativo
CLI-0076,Eunápolis,Empresa 1000,site,312.68,6,0,0,47,2022-09-02,0,,,ativo
CLI-0077,Feira de Santana,Família 500,loja,140.94,8,2,0,6,2026-01-24,0,,,ativo
CLI-0078,Eunápolis,Casa 300,indicação,115.56,3,0,0,38,2023-06-02,0,,,ativo
CLI-0079,Vitória da Conquista,Empresa 1000,loja,293.92,10,2,0,10,2025-09-29,0,,,ativo
CLI-0080,Eunápolis,Família 500,telefone,165.8,7,0,0,24,2024-07-20,0,,,ativo
CLI-0081,Salvador,Casa 300,telefone,113.67,6,4,0,23,2024-08-13,0,,,ativo
CLI-0082,Feira de Santana,Básico 100,site,87.39,10,1,20,4,2026-03-13,0,,,ativo
CLI-0083,Ilhéus,Casa 300,indicação,102.27,6,2,0,48,2022-08-06,0,,,ativo
CLI-0084,Feira de Santana,Casa 300,telefone,122.44,6,0,35,40,2023-04-16,0,,,ativo
CLI-0085,Eunápolis,Família 500,telefone,152.11,7,2,0,13,2025-06-21,0,,,ativo
CLI-0086,Vitória da Conquista,Gamer 700,indicação,211.56,8,0,35,7,2025-12-30,0,,,ativo
CLI-0087,Ilhéus,Casa 300,site,104.67,8,4,0,23,2024-08-15,0,,,ativo
CLI-0088,Ilhéus,Básico 100,indicação,78.8,10,0,0,46,2022-10-05,0,,,ativo
CLI-0089,Eunápolis,Empresa 1000,loja,295.93,6,0,0,29,2024-03-05,0,,,ativo
CLI-0090,Ilhéus,Básico 100,indicação,86.28,1,5,20,15,2025-05-02,1,2026-07-30,mudança,cancelado
CLI-0091,Vitória da Conquista,Básico 100,site,78.64,8,2,0,40,2023-04-07,0,,,ativo
CLI-0092,Feira de Santana,Gamer 700,loja,216.41,4,2,35,39,2023-04-27,0,,,ativo
CLI-0093,Ilhéus,Casa 300,telefone,118.35,9,0,0,48,2022-08-11,0,,,ativo
CLI-0094,Ilhéus,Família 500,indicação,165.44,6,1,35,21,2024-10-27,0,,,ativo
CLI-0095,Ilhéus,Gamer 700,site,210.39,7,0,0,30,2024-01-23,0,,,ativo
CLI-0096,Eunápolis,Básico 100,loja,75.78,10,1,10,40,2023-04-01,0,,,ativo
CLI-0097,Vitória da Conquista,Empresa 1000,loja,293.11,6,4,20,4,2026-03-19,0,,,ativo
CLI-0098,Vitória da Conquista,Família 500,loja,139.48,3,3,0,4,2026-03-13,0,,,ativo
CLI-0099,Ilhéus,Família 500,telefone,151.73,5,1,5,45,2022-10-31,0,,,ativo
CLI-0100,Salvador,Básico 100,loja,87.19,4,1,0,49,2022-07-13,0,,,ativo
CLI-0101,Salvador,Casa 300,telefone,122.64,8,2,5,31,2024-01-12,0,,,ativo
CLI-0102,Feira de Santana,Básico 100,loja,79.65,7,1,5,37,2023-06-22,0,,,ativo
CLI-0103,Vitória da Conquista,Empresa 1000,telefone,307.93,4,3,60,44,2022-11-23,1,2026-07-28,mudança,cancelado
CLI-0104,Salvador,Gamer 700,site,196.77,7,1,60,23,2024-09-06,0,,,ativo
CLI-0105,Eunápolis,Família 500,loja,154.63,10,4,60,24,2024-07-20,0,,,ativo
CLI-0106,Eunápolis,Casa 300,site,109.62,6,0,0,42,2023-01-31,0,,,ativo
CLI-0107,Ilhéus,Gamer 700,telefone,217.37,10,1,10,15,2025-04-15,0,,,ativo
CLI-0108,Eunápolis,Empresa 1000,telefone,322.2,2,4,20,2,2026-05-14,1,2026-07-02,preço,cancelado
CLI-0109,Feira de Santana,Casa 300,loja,115.37,3,1,20,23,2024-08-16,0,,,ativo
CLI-0110,Eunápolis,Empresa 1000,indicação,301.11,8,0,10,10,2025-10-05,1,2026-06-10,instabilidade,cancelado
CLI-0111,Salvador,Casa 300,indicação,113.74,8,0,0,8,2025-11-05,0,,,ativo
CLI-0112,Vitória da Conquista,Família 500,site,161.88,9,0,10,33,2023-11-05,0,,,ativo
CLI-0113,Eunápolis,Gamer 700,indicação,184.4,8,1,0,26,2024-06-05,0,,,ativo
CLI-0114,Vitória da Conquista,Gamer 700,telefone,191.08,4,6,35,9,2025-10-21,0,,,ativo
CLI-0115,Feira de Santana,Básico 100,site,85.73,6,1,0,36,2023-08-15,0,,,ativo
CLI-0116,Eunápolis,Básico 100,telefone,74.19,8,0,0,2,2026-05-25,0,,,ativo
CLI-0117,Ilhéus,Empresa 1000,site,286.99,7,1,20,15,2025-05-08,0,,,ativo
CLI-0118,Ilhéus,Gamer 700,telefone,195.53,7,1,20,16,2025-03-27,0,,,ativo
CLI-0119,Feira de Santana,Gamer 700,site,185.1,2,1,0,34,2023-09-18,1,2026-07-20,atendimento,cancelado
CLI-0120,Feira de Santana,Gamer 700,indicação,212.52,9,1,0,30,2024-02-01,0,,,ativo
CLI-0121,Eunápolis,Gamer 700,indicação,206.8,5,2,5,39,2023-04-21,0,,,ativo
CLI-0122,Ilhéus,Família 500,telefone,150.71,10,2,0,5,2026-02-15,0,,,ativo
CLI-0123,Feira de Santana,Família 500,indicação,158.5,8,2,0,20,2024-11-22,1,2026-06-10,mudança,cancelado
CLI-0124,Salvador,Família 500,telefone,166.18,7,2,10,46,2022-09-26,0,,,ativo
CLI-0125,Ilhéus,Casa 300,telefone,107.91,5,3,20,18,2025-01-30,1,2026-06-06,instabilidade,cancelado
CLI-0126,Feira de Santana,Básico 100,site,81.76,9,0,60,8,2025-11-18,0,,,ativo
CLI-0127,Salvador,Casa 300,site,121.04,5,3,10,2,2026-05-21,1,2026-07-06,atendimento,cancelado
CLI-0128,Eunápolis,Gamer 700,site,207.9,6,1,60,9,2025-10-09,0,,,ativo
CLI-0129,Eunápolis,Casa 300,indicação,120.4,7,3,0,35,2023-09-05,0,,,ativo
CLI-0130,Ilhéus,Empresa 1000,site,310.91,3,2,60,46,2022-10-13,0,,,ativo
CLI-0131,Vitória da Conquista,Básico 100,indicação,86.26,3,2,5,44,2022-11-22,1,2026-07-15,instabilidade,cancelado
CLI-0132,Feira de Santana,Casa 300,telefone,112.7,7,5,5,45,2022-11-14,1,2026-06-10,atendimento,cancelado
CLI-0133,Salvador,Família 500,telefone,153.93,6,3,0,46,2022-09-22,0,,,ativo
CLI-0134,Salvador,Gamer 700,loja,190.55,5,0,0,29,2024-02-19,0,,,ativo
CLI-0135,Salvador,Casa 300,loja,110.38,7,1,35,49,2022-07-01,0,,,ativo
CLI-0136,Vitória da Conquista,Empresa 1000,loja,315.92,7,2,0,15,2025-05-04,0,,,ativo
CLI-0137,Vitória da Conquista,Básico 100,indicação,86.6,7,3,60,11,2025-08-21,0,,,ativo
CLI-0138,Eunápolis,Empresa 1000,telefone,314.53,4,2,20,11,2025-09-05,0,,,ativo
CLI-0139,Salvador,Gamer 700,loja,217.55,9,2,0,35,2023-09-02,0,,,ativo
CLI-0140,Salvador,Empresa 1000,site,303.22,8,1,0,37,2023-07-15,0,,,ativo
CLI-0141,Eunápolis,Gamer 700,indicação,205.54,3,6,10,16,2025-03-13,0,,,ativo
CLI-0142,Feira de Santana,Empresa 1000,loja,318.69,8,0,0,23,2024-09-04,0,,,ativo
CLI-0143,Vitória da Conquista,Gamer 700,site,183.93,4,4,5,43,2023-01-08,0,,,ativo
CLI-0144,Salvador,Empresa 1000,loja,316.26,8,3,0,33,2023-10-31,0,,,ativo
CLI-0145,Vitória da Conquista,Casa 300,loja,107.28,3,4,0,34,2023-09-25,0,,,ativo
CLI-0146,Eunápolis,Básico 100,telefone,78.56,5,0,0,19,2024-12-10,0,,,ativo
CLI-0147,Eunápolis,Básico 100,telefone,86.21,3,4,0,31,2023-12-17,0,,,ativo
CLI-0148,Vitória da Conquista,Básico 100,site,89.11,7,0,5,29,2024-02-19,0,,,ativo
CLI-0149,Feira de Santana,Casa 300,site,120.57,5,1,0,20,2024-11-28,0,,,ativo
CLI-0150,Eunápolis,Empresa 1000,telefone,304.32,4,2,5,48,2022-08-10,0,,,ativo
CLI-0151,Vitória da Conquista,Gamer 700,telefone,196.58,7,1,0,28,2024-03-17,0,,,ativo
CLI-0152,Feira de Santana,Gamer 700,site,202.88,7,2,0,16,2025-03-23,0,,,ativo
CLI-0153,Vitória da Conquista,Empresa 1000,loja,309.95,6,3,60,21,2024-10-27,0,,,ativo
CLI-0154,Feira de Santana,Gamer 700,site,186.69,7,0,60,2,2026-05-09,0,,,ativo
CLI-0155,Ilhéus,Empresa 1000,telefone,292.43,6,3,0,14,2025-05-13,0,,,ativo
CLI-0156,Feira de Santana,Gamer 700,indicação,192.2,10,0,0,31,2023-12-22,0,,,ativo
CLI-0157,Salvador,Empresa 1000,telefone,317.31,8,0,0,44,2022-11-28,0,,,ativo
CLI-0158,Eunápolis,Básico 100,indicação,85.77,9,3,0,15,2025-04-11,0,,,ativo
CLI-0159,Eunápolis,Casa 300,site,115.22,10,2,60,11,2025-08-26,0,,,ativo
CLI-0160,Feira de Santana,Gamer 700,site,193.7,7,1,0,22,2024-10-03,0,,,ativo
CLI-0161,Eunápolis,Gamer 700,telefone,196.21,6,2,20,26,2024-05-29,0,,,ativo
CLI-0162,Ilhéus,Básico 100,indicação,86.52,6,5,0,44,2022-12-08,0,,,ativo
CLI-0163,Vitória da Conquista,Gamer 700,indicação,223.87,0,4,5,23,2024-08-12,1,2026-07-28,mudança,cancelado
CLI-0164,Ilhéus,Básico 100,site,77.4,10,0,0,33,2023-10-19,0,,,ativo
CLI-0165,Vitória da Conquista,Casa 300,loja,107.5,7,3,5,16,2025-04-01,0,,,ativo
CLI-0166,Vitória da Conquista,Gamer 700,site,223.53,5,1,0,27,2024-04-21,0,,,ativo
CLI-0167,Salvador,Casa 300,site,109.83,9,1,0,3,2026-04-24,0,,,ativo
CLI-0168,Eunápolis,Gamer 700,indicação,206.75,10,0,0,34,2023-10-15,0,,,ativo
CLI-0169,Ilhéus,Família 500,site,158.53,6,1,0,42,2023-02-07,0,,,ativo
CLI-0170,Salvador,Básico 100,indicação,88.04,9,1,10,23,2024-08-27,0,,,ativo
CLI-0171,Vitória da Conquista,Empresa 1000,loja,332.74,8,0,0,16,2025-03-21,0,,,ativo
CLI-0172,Feira de Santana,Básico 100,indicação,88.73,5,0,0,26,2024-06-11,0,,,ativo
CLI-0173,Salvador,Empresa 1000,telefone,315.27,7,1,10,19,2024-12-28,1,2026-06-05,instabilidade,cancelado
CLI-0174,Eunápolis,Casa 300,site,111.52,8,3,10,46,2022-10-07,0,,,ativo
CLI-0175,Vitória da Conquista,Empresa 1000,indicação,320.37,10,0,0,9,2025-10-09,0,,,ativo
CLI-0176,Salvador,Gamer 700,telefone,186.61,9,1,0,43,2022-12-21,0,,,ativo
CLI-0177,Salvador,Casa 300,site,121.81,7,2,20,20,2024-11-12,1,2026-07-16,instabilidade,cancelado
CLI-0178,Feira de Santana,Gamer 700,telefone,187.65,8,2,0,26,2024-06-08,0,,,ativo
CLI-0179,Ilhéus,Básico 100,indicação,75.15,4,3,0,8,2025-12-04,0,,,ativo
CLI-0180,Eunápolis,Básico 100,indicação,88.42,5,4,20,19,2024-12-24,1,2026-06-02,instabilidade,cancelado
CLI-0181,Ilhéus,Gamer 700,site,212.02,6,2,60,36,2023-07-19,1,2026-06-26,atendimento,cancelado
CLI-0182,Vitória da Conquista,Empresa 1000,site,301.32,9,1,0,35,2023-09-09,0,,,ativo
CLI-0183,Feira de Santana,Casa 300,loja,106.39,7,4,0,38,2023-05-30,0,,,ativo
CLI-0184,Ilhéus,Casa 300,indicação,110.94,5,2,0,11,2025-08-07,0,,,ativo
CLI-0185,Eunápolis,Família 500,telefone,145.79,3,4,5,6,2026-01-13,0,,,ativo
CLI-0186,Ilhéus,Família 500,telefone,144.28,9,0,10,24,2024-07-31,0,,,ativo
CLI-0187,Ilhéus,Gamer 700,site,187.02,4,0,0,1,2026-06-12,0,,,ativo
CLI-0188,Salvador,Família 500,telefone,157.36,5,1,0,35,2023-09-08,0,,,ativo
CLI-0189,Eunápolis,Gamer 700,loja,221.47,4,2,0,29,2024-03-09,0,,,ativo
CLI-0190,Feira de Santana,Casa 300,loja,114.99,6,6,10,7,2025-12-11,1,2026-06-26,instabilidade,cancelado
CLI-0191,Vitória da Conquista,Casa 300,site,106.38,5,3,0,31,2023-12-16,0,,,ativo
CLI-0192,Vitória da Conquista,Básico 100,telefone,89.41,10,0,5,24,2024-07-30,0,,,ativo
CLI-0193,Eunápolis,Gamer 700,telefone,207.75,8,1,0,30,2024-01-27,0,,,ativo
CLI-0194,Eunápolis,Gamer 700,indicação,216.43,8,3,0,47,2022-09-04,1,2026-07-14,atendimento,cancelado
CLI-0195,Feira de Santana,Básico 100,loja,89.38,2,4,0,1,2026-06-11,1,2026-06-15,mudança,cancelado
CLI-0196,Salvador,Gamer 700,site,207.01,9,0,5,46,2022-10-03,0,,,ativo
CLI-0197,Feira de Santana,Casa 300,loja,107.21,7,3,20,28,2024-04-04,0,,,ativo
CLI-0198,Salvador,Gamer 700,site,213.25,5,5,20,27,2024-04-19,0,,,ativo
CLI-0199,Vitória da Conquista,Básico 100,indicação,80.74,0,1,0,7,2025-12-10,0,,,ativo
CLI-0200,Ilhéus,Empresa 1000,site,291.82,8,2,5,31,2023-12-25,0,,,ativo
CLI-0201,Eunápolis,Básico 100,indicação,73.59,10,0,0,4,2026-03-16,0,,,ativo
CLI-0202,Eunápolis,Empresa 1000,site,298.46,6,0,20,43,2022-12-24,0,,,ativo
CLI-0203,Vitória da Conquista,Empresa 1000,loja,283.19,6,0,10,33,2023-10-20,0,,,ativo
CLI-0204,Eunápolis,Empresa 1000,loja,331.45,5,1,0,31,2024-01-06,0,,,ativo
CLI-0205,Salvador,Empresa 1000,indicação,333.66,8,0,0,31,2024-01-04,0,,,ativo
CLI-0206,Feira de Santana,Empresa 1000,indicação,311.23,1,5,5,18,2025-01-18,1,2026-07-30,instabilidade,cancelado
CLI-0207,Eunápolis,Básico 100,telefone,75.64,5,0,0,48,2022-08-02,0,,,ativo
CLI-0208,Salvador,Básico 100,site,86.01,8,0,0,39,2023-04-24,0,,,ativo
CLI-0209,Eunápolis,Família 500,loja,164.52,7,1,10,5,2026-02-08,0,,,ativo
CLI-0210,Eunápolis,Casa 300,site,103.65,3,2,0,30,2024-02-03,0,,,ativo
CLI-0211,Eunápolis,Empresa 1000,loja,315.29,7,6,0,28,2024-04-09,0,,,ativo
CLI-0212,Eunápolis,Gamer 700,loja,192.88,6,0,0,27,2024-05-06,0,,,ativo
CLI-0213,Eunápolis,Família 500,telefone,160.26,5,3,0,12,2025-08-04,0,,,ativo
CLI-0214,Ilhéus,Casa 300,loja,106.22,8,1,5,11,2025-09-05,0,,,ativo
CLI-0215,Ilhéus,Empresa 1000,indicação,332.29,9,0,5,49,2022-06-28,0,,,ativo
CLI-0216,Ilhéus,Gamer 700,site,208.12,6,0,10,47,2022-09-21,0,,,ativo
CLI-0217,Eunápolis,Gamer 700,telefone,195.47,7,1,0,44,2022-12-19,0,,,ativo
CLI-0218,Eunápolis,Empresa 1000,site,325.75,10,0,0,30,2024-02-10,0,,,ativo
CLI-0219,Salvador,Empresa 1000,telefone,279.94,6,0,0,15,2025-04-20,0,,,ativo
CLI-0220,Feira de Santana,Família 500,telefone,139.73,5,4,10,35,2023-08-28,0,,,ativo
CLI-0221,Ilhéus,Básico 100,loja,81.52,5,2,0,2,2026-05-22,1,2026-06-21,instabilidade,cancelado
CLI-0222,Vitória da Conquista,Família 500,site,149.37,5,2,60,33,2023-10-17,0,,,ativo
CLI-0223,Salvador,Empresa 1000,site,300.09,3,3,20,18,2025-02-06,0,,,ativo
CLI-0224,Ilhéus,Empresa 1000,site,284.4,7,3,0,26,2024-06-01,0,,,ativo
CLI-0225,Ilhéus,Gamer 700,indicação,222.56,4,1,35,23,2024-08-25,0,,,ativo
CLI-0226,Ilhéus,Gamer 700,site,199.2,6,2,0,15,2025-04-21,0,,,ativo
CLI-0227,Eunápolis,Casa 300,loja,102.34,6,1,0,6,2026-01-14,0,,,ativo
CLI-0228,Vitória da Conquista,Família 500,telefone,154.94,4,2,5,9,2025-11-03,1,2026-07-26,instabilidade,cancelado
CLI-0229,Vitória da Conquista,Casa 300,indicação,116.44,9,1,0,13,2025-07-05,0,,,ativo
CLI-0230,Vitória da Conquista,Empresa 1000,loja,313.66,9,0,20,3,2026-04-24,0,,,ativo
CLI-0231,Salvador,Gamer 700,site,214.42,4,4,0,21,2024-10-26,0,,,ativo
CLI-0232,Vitória da Conquista,Gamer 700,site,199.9,6,1,0,9,2025-10-12,0,,,ativo
CLI-0233,Feira de Santana,Casa 300,telefone,116.19,5,4,5,22,2024-09-17,0,,,ativo
CLI-0234,Salvador,Básico 100,indicação,85.2,5,2,0,41,2023-02-28,0,,,ativo
CLI-0235,Salvador,Casa 300,indicação,113.71,10,3,0,48,2022-08-11,0,,,ativo
CLI-0236,Eunápolis,Gamer 700,loja,210.32,7,4,0,18,2025-01-25,0,,,ativo
CLI-0237,Ilhéus,Família 500,telefone,144.66,9,0,0,35,2023-09-08,0,,,ativo
CLI-0238,Ilhéus,Gamer 700,telefone,223.48,7,5,10,17,2025-02-16,1,2026-06-23,mudança,cancelado
CLI-0239,Vitória da Conquista,Básico 100,loja,85.05,9,0,0,10,2025-09-07,0,,,ativo
CLI-0240,Eunápolis,Gamer 700,indicação,190.08,8,2,20,49,2022-07-03,0,,,ativo
CLI-0241,Salvador,Gamer 700,indicação,204.19,10,1,20,43,2022-12-28,0,,,ativo
CLI-0242,Eunápolis,Básico 100,indicação,81.38,3,3,0,18,2025-02-02,0,,,ativo
CLI-0243,Feira de Santana,Casa 300,site,117.95,1,3,5,23,2024-09-07,1,2026-06-28,atendimento,cancelado
CLI-0244,Vitória da Conquista,Casa 300,indicação,119.41,5,0,0,15,2025-05-01,0,,,ativo
CLI-0245,Vitória da Conquista,Gamer 700,indicação,206.16,3,3,0,17,2025-02-15,0,,,ativo
CLI-0246,Eunápolis,Básico 100,indicação,80.95,8,0,20,47,2022-09-01,0,,,ativo
CLI-0247,Feira de Santana,Família 500,site,143.96,10,5,0,22,2024-09-25,0,,,ativo
CLI-0248,Vitória da Conquista,Gamer 700,indicação,221.72,3,1,20,7,2025-12-10,0,,,ativo
CLI-0249,Vitória da Conquista,Família 500,loja,161.39,10,0,0,43,2023-01-06,0,,,ativo
CLI-0250,Eunápolis,Família 500,indicação,160.69,4,1,0,23,2024-08-28,0,,,ativo
CLI-0251,Ilhéus,Básico 100,indicação,75.53,9,0,0,9,2025-10-29,0,,,ativo
CLI-0252,Feira de Santana,Empresa 1000,indicação,280.14,6,1,60,14,2025-06-01,1,2026-06-14,instabilidade,cancelado
CLI-0253,Salvador,Família 500,loja,140.94,5,2,0,25,2024-07-02,0,,,ativo
CLI-0254,Vitória da Conquista,Básico 100,loja,78.18,9,1,0,44,2022-12-19,0,,,ativo
CLI-0255,Feira de Santana,Básico 100,indicação,88.03,4,1,10,8,2025-11-16,0,,,ativo
CLI-0256,Eunápolis,Família 500,loja,145.28,6,3,0,16,2025-03-29,0,,,ativo
CLI-0257,Feira de Santana,Empresa 1000,loja,334.75,4,2,0,40,2023-04-04,0,,,ativo
CLI-0258,Ilhéus,Empresa 1000,indicação,327.65,10,0,60,47,2022-09-06,0,,,ativo
CLI-0259,Salvador,Empresa 1000,loja,334.81,6,3,0,18,2025-01-21,0,,,ativo
CLI-0260,Feira de Santana,Casa 300,indicação,121.72,4,2,35,42,2023-02-13,0,,,ativo
CLI-0261,Eunápolis,Gamer 700,telefone,187.2,6,3,0,28,2024-03-27,0,,,ativo
CLI-0262,Salvador,Básico 100,telefone,88.69,4,7,35,15,2025-04-19,1,2026-07-18,preço,cancelado
CLI-0263,Ilhéus,Gamer 700,loja,208.96,9,0,0,18,2025-01-29,0,,,ativo
