pagamento_id,cliente_id,data_vencimento,data_pagamento,valor,status
PAG-000139,CLI-0012,2026-02-02,2026-02-16,160.61,pago
PAG-000140,CLI-0012,2026-01-03,2026-01-10,160.61,pago
PAG-000141,CLI-0012,2025-12-04,2025-12-15,160.61,pago
PAG-000142,CLI-0012,2025-11-04,,160.61,pendente
PAG-000143,CLI-0012,2025-10-05,2025-10-20,160.61,pago
PAG-000144,CLI-0012,2025-09-05,2025-09-18,160.61,pago
PAG-000145,CLI-0013,2026-08-01,2026-08-07,204.43,pago
PAG-000146,CLI-0013,2026-07-02,2026-07-03,204.43,pago
PAG-000147,CLI-0013,2026-06-02,2026-06-19,204.43,pago
PAG-000148,CLI-0013,2026-05-03,2026-05-11,204.43,pago
PAG-000149,CLI-0014,2026-08-01,2026-08-05,187.12,pago
PAG-000150,CLI-0014,2026-07-02,2026-07-03,187.12,pago
PAG-000151,CLI-0014,2026-06-02,,187.12,pendente
PAG-000152,CLI-0014,2026-05-03,2026-05-03,187.12,pago
PAG-000153,CLI-0014,2026-04-03,,187.12,pendente
PAG-000154,CLI-0014,2026-03-04,2026-03-20,187.12,pago
PAG-000155,CLI-0014,2026-02-02,2026-01-30,187.12,pago
PAG-000156,CLI-0014,2026-01-03,,187.12,pendente
PAG-000157,CLI-0014,2025-12-04,,187.12,pendente
PAG-000158,CLI-0014,2025-11-04,2025-11-15,187.12,pago
PAG-000159,CLI-0014,2025-10-05,2025-10-03,187.12,pago
PAG-000160,CLI-0014,2025-09-05,,187.12,pendente
PAG-000161,CLI-0015,2026-08-01,2026-08-11,82.13,pago
PAG-000162,CLI-0015,2026-07-02,2026-07-08,82.13,pago
PAG-000163,CLI-0015,2026-06-02,2026-06-16,82.13,pago
PAG-000164,CLI-0015,2026-05-03,2026-05-07,82.13,pago
PAG-000165,CLI-0015,2026-04-03,2026-04-04,82.13,pago
PAG-000166,CLI-0015,2026-03-04,2026-03-02,82.13,pago
PAG-000167,CLI-0015,2026-02-02,2026-02-12,82.13,pago
PAG-000168,CLI-0015,2026-01-03,2026-01-04,82.13,pago
PAG-000169,CLI-0015,2025-12-04,2025-12-09,82.13,pago
PAG-000170,CLI-0015,2025-11-04,2025-11-21,82.13,pago
PAG-000171,CLI-0015,2025-10-05,2025-10-16,82.13,pago
PAG-000172,CLI-0015,2025-09-05,2025-09-04,82.13,pago
PAG-000173,CLI-0016,2026-08-01,2026-08-10,298.53,pago
PAG-000174,CLI-0016,2026-07-02,2026-07-16,298.53,pago
PAG-000175,CLI-0016,2026-06-02,2026-06-08,298.53,pago
PAG-000176,CLI-0016,2026-05-03,2026-05-17,298.53,pago
PAG-000177,CLI-0016,2026-04-03,2026-04-09,298.53,pago
PAG-000178,CLI-0016,2026-03-04,2026-03-17,298.53,pago
PAG-000179,CLI-0016,2026-02-02,2026-02-13,298.53,pago
PAG-000180,CLI-0016,2026-01-03,2026-01-15,298.53,pago
PAG-000181,CLI-0016,2025-12-04,2025-12-11,298.53,pago
PAG-000182,CLI-0016,2025-11-04,2025-11-12,298.53,pago
PAG-000183,CLI-0016,2025-10-05,2025-10-03,298.53,pago
PAG-000184,CLI-0016,2025-09-05,2025-09-09,298.53,pago
PAG-000185,CLI-0017,2026-08-01,2026-08-13,107.6,pago
PAG-000186,CLI-0017,2026-07-02,2026-07-19,107.6,pago
PAG-000187,CLI-0018,2026-08-01,2026-08-17,190.68,pago
PAG-000188,CLI-0018,2026-07-02,2026-07-18,190.68,pago
PAG-000189,CLI-0018,2026-06-02,2026-06-20,190.68,pago
PAG-000190,CLI-0018,2026-05-03,2026-04-30,190.68,pago
PAG-000191,CLI-0018,2026-04-03,2026-04-13,190.68,pago
PAG-000192,CLI-0018,2026-03-04,,190.68,pendente
PAG-000193,CLI-0018,2026-02-02,2026-02-07,190.68,pago
PAG-000194,CLI-0018,2026-01-03,2026-01-09,190.68,pago
PAG-000195,CLI-0018,2025-12-04,,190.68,pendente
PAG-000196,CLI-0018,2025-11-04,2025-11-22,190.68,pago
PAG-000197,CLI-0018,2025-10-05,2025-10-07,190.68,pago
PAG-000198,CLI-0018,2025-09-05,2025-09-05,190.68,pago
PAG-000199,CLI-0019,2026-08-01,2026-08-19,313.08,pago
PAG-000200,CLI-0019,2026-07-02,2026-07-16,313.08,pago
PAG-000201,CLI-0019,2026-06-02,2026-05-31,313.08,pago
PAG-000202,CLI-0019,2026-05-03,2026-05-10,313.08,pago
PAG-000203,CLI-0019,2026-04-03,,313.08,pendente
PAG-000204,CLI-0019,2026-03-04,2026-03-05,313.08,pago
PAG-000205,CLI-0019,2026-02-02,2026-02-11,313.08,pago
PAG-000206,CLI-0019,2026-01-03,2026-01-09,313.08,pago
PAG-000207,CLI-0019,2025-12-04,2025-12-08,313.08,pago
PAG-000208,CLI-0019,2025-11-04,2025-11-13,313.08,pago
PAG-000209,CLI-0019,2025-10-05,2025-10-19,313.08,pago
PAG-000210,CLI-0020,2026-08-01,,152.92,pendente
PAG-000211,CLI-0020,2026-07-02,,152.92,pendente
PAG-000212,CLI-0020,2026-06-02,,152.92,pendente
PAG-000213,CLI-0020,2026-05-03,,152.92,pendente
PAG-000214,CLI-0020,2026-04-03,2026-04-20,152.92,pago
PAG-000215,CLI-0020,2026-03-04,,152.92,pendente
PAG-000216,CLI-0020,2026-02-02,2026-02-10,152.92,pago
PAG-000217,CLI-0020,2026-01-03,,152.92,pendente
PAG-000218,CLI-0020,2025-12-04,,152.92,pendente
PAG-000219,CLI-0020,2025-11-04,,152.92,pendente
PAG-000220,CLI-0020,2025-10-05,2025-10-10,152.92,pago
PAG-000221,CLI-0020,2025-09-05,,152.92,pendente
PAG-000222,CLI-0021,2026-08-01,2026-07-29,82.41,pago
PAG-000223,CLI-0021,2026-07-02,2026-07-11,82.41,pago
PAG-000224,CLI-0021,2026-06-02,2026-06-16,82.41,pago
PAG-000225,CLI-0021,2026-05-03,2026-05-07,82.41,pago
PAG-000226,CLI-0021,2026-04-03,2026-04-05,82.41,pago
PAG-000227,CLI-0021,2026-03-04,2026-03-06,82.41,pago
PAG-000228,CLI-0021,2026-02-02,2026-02-08,82.41,pago
PAG-000229,CLI-0021,2026-01-03,2026-01-04,82.41,pago
PAG-000230,CLI-0021,2025-12-04,2025-12-14,82.41,pago
PAG-000231,CLI-0021,2025-11-04,2025-11-10,82.41,pago
PAG-000232,CLI-0021,2025-10-05,2025-10-04,82.41,pago
PAG-000233,CLI-0021,2025-09-05,2025-09-09,82.41,pago
PAG-000234,CLI-0022,2026-08-01,2026-08-13,202.21,pago
PAG-000235,CLI-0022,2026-07-02,2026-07-06,202.21,pago
PAG-000236,CLI-0022,2026-06-02,2026-06-07,202.21,pago
PAG-000237,CLI-0022,2026-05-03,2026-05-12,202.21,pago
PAG-000238,CLI-0022,2026-04-03,2026-04-18,202.21,pago
PAG-000239,CLI-0022,2026-03-04,2026-03-18,202.21,pago
PAG-000240,CLI-0022,2026-02-02,2026-02-16,202.21,pago
PAG-000241,CLI-0022,2026-01-03,,202.21,pendente
PAG-000242,CLI-0022,2025-12-04,2025-12-07,202.21,pago
PAG-000243,CLI-0022,2025-11-04,2025-11-10,202.21,pago
PAG-000244,CLI-0022,2025-10-05,2025-10-04,202.21,pago
PAG-000245,CLI-0022,2025-09-05,2025-09-15,202.21,pago
PAG-000246,CLI-0023,2026-08-01,2026-08-09,194.01,pago
PAG-000247,CLI-0023,2026-07-02,2026-07-16,194.01,pago
PAG-000248,CLI-0023,2026-06-02,2026-06-01,194.01,pago
PAG-000249,CLI-0023,2026-05-03,2026-05-07,194.01,pago
PAG-000250,CLI-0023,2026-04-03,2026-04-11,194.01,pago
PAG-000251,CLI-0023,2026-03-04,2026-03-20,194.01,pago
PAG-000252,CLI-0023,2026-02-02,2026-02-19,194.01,pago
PAG-000253,CLI-0023,2026-01-03,2026-01-12,194.01,pago
PAG-000254,CLI-0023,2025-12-04,2025-12-11,194.01,pago
PAG-000255,CLI-0023,2025-11-04,2025-11-14,194.01,pago
PAG-000256,CLI-0024,2026-08-01,,77.06,pendente
PAG-000257,CLI-0025,2026-08-01,2026-08-08,75.36,pago
PAG-000258,CLI-0025,2026-07-02,2026-07-13,75.36,pago
PAG-000259,CLI-0025,2026-06-02,2026-06-11,75.36,pago
PAG-000260,CLI-0025,2026-05-03,2026-05-05,75.36,pago
PAG-000261,CLI-0025,2026-04-03,2026-04-13,75.36,pago
PAG-000262,CLI-0025,2026-03-04,2026-03-20,75.36,pago
PAG-000263,CLI-0025,2026-02-02,2026-02-13,75.36,pago
PAG-000264,CLI-0025,2026-01-03,2026-01-12,75.36,pago
PAG-000265,CLI-0025,2025-12-04,,75.36,pendente
PAG-000266,CLI-0025,2025-11-04,2025-11-09,75.36,pago
PAG-000267,CLI-0025,2025-10-05,2025-10-04,75.36,pago
PAG-000268,CLI-0025,2025-09-05,2025-09-19,75.36,pago
PAG-000269,CLI-0026,2026-08-01,2026-08-12,111.16,pago
PAG-000270,CLI-0026,2026-07-02,2026-07-20,111.16,pago
PAG-000271,CLI-0026,2026-06-02,2026-06-08,111.16,pago
PAG-000272,CLI-0026,2026-05-03,2026-05-18,111.16,pago
PAG-000273,CLI-0026,2026-04-03,2026-04-04,111.16,pago
PAG-000274,CLI-0026,2026-03-04,2026-03-08,111.16,pago
PAG-000275,CLI-0026,2026-02-02,2026-02-04,111.16,pago
PAG-000276,CLI-0026,2026-01-03,2026-01-04,111.16,pago
PAG-000277,CLI-0026,2025-12-04,2025-12-14,111.16,pago
PAG-000278,CLI-0026,2025-11-04,2025-11-19,111.16,pago
PAG-000279,CLI-0026,2025-10-05,2025-10-07,111.16,pago
PAG-000280,CLI-0026,2025-09-05,2025-09-19,111.16,pago
PAG-000281,CLI-0027,2026-08-01,2026-08-01,107.46,pago
PAG-000282,CLI-0027,2026-07-02,2026-07-16,107.46,pago
PAG-000283,CLI-0027,2026-06-02,2026-06-10,107.46,pago
PAG-000284,CLI-0027,2026-05-03,2026-05-01,107.46,pago
PAG-000285,CLI-0027,2026-04-03,2026-04-14,107.46,pago
PAG-000286,CLI-0027,2026-03-04,2026-03-14,107.46,pago
PAG-000287,CLI-0027,2026-02-02,2026-02-19,107.46,pago
PAG-000288,CLI-0027,2026-01-03,2026-01-09,107.46,pago
PAG-000289,CLI-0027,2025-12-04,2025-12-02,107.46,pago
PAG-000290,CLI-0027,2025-11-04,2025-11-12,107.46,pago
PAG-000291,CLI-0027,2025-10-05,2025-10-04,107.46,pago
PAG-000292,CLI-0027,2025-09-05,2025-09-05,107.46,pago
PAG-000293,CLI-0028,2026-08-01,2026-08-02,120.03,pago
PAG-000294,CLI-0028,2026-07-02,2026-07-06,120.03,pago
PAG-000295,CLI-0028,2026-06-02,2026-06-20,120.03,pago
PAG-000296,CLI-0028,2026-05-03,2026-05-04,120.03,pago
PAG-000297,CLI-0028,2026-04-03,2026-04-08,120.03,pago
PAG-000298,CLI-0028,2026-03-04,2026-03-13,120.03,pago
PAG-000299,CLI-0028,2026-02-02,2026-02-19,120.03,pago
PAG-000300,CLI-0028,2026-01-03,2026-01-02,120.03,pago
PAG-000301,CLI-0028,2025-12-04,2025-12-09,120.03,pago
PAG-000302,CLI-0028,2025-11-04,2025-11-12,120.03,pago
PAG-000303,CLI-0028,2025-10-05,2025-10-17,120.03,pago
PAG-000304,CLI-0028,2025-09-05,2025-09-02,120.03,pago
PAG-000305,CLI-0029,2026-08-01,2026-08-12,86.22,pago
PAG-000306,CLI-0029,2026-07-02,,86.22,pendente
PAG-000307,CLI-0029,2026-06-02,2026-06-04,86.22,pago
PAG-000308,CLI-0029,2026-05-03,2026-04-30,86.22,pago
PAG-000309,CLI-0029,2026-04-03,2026-04-13,86.22,pago
PAG-000310,CLI-0029,2026-03-04,2026-03-05,86.22,pago
PAG-000311,CLI-0029,2026-02-02,2026-02-08,86.22,pago
PAG-000312,CLI-0029,2026-01-03,2026-01-08,86.22,pago
PAG-000313,CLI-0029,2025-12-04,,86.22,pendente
PAG-000314,CLI-0029,2025-11-04,2025-11-03,86.22,pago
PAG-000315,CLI-0029,2025-10-05,2025-10-22,86.22,pago
PAG-000316,CLI-0029,2025-09-05,2025-09-14,86.22,pago
PAG-000317,CLI-0030,2026-08-01,2026-08-08,157.56,pago
PAG-000318,CLI-0030,2026-07-02,2026-07-08,157.56,pago
PAG-000319,CLI-0030,2026-06-02,2026-06-03,157.56,pago
PAG-000320,CLI-0030,2026-05-03,2026-05-21,157.56,pago
PAG-000321,CLI-0030,2026-04-03,2026-04-16,157.56,pago
PAG-000322,CLI-0030,2026-03-04,2026-03-20,157.56,pago
PAG-000323,CLI-0030,2026-02-02,2026-02-13,157.56,pago
PAG-000324,CLI-0030,2026-01-03,2026-01-06,157.56,pago
PAG-000325,CLI-0030,2025-12-04,2025-12-05,157.56,pago
PAG-000326,CLI-0030,2025-11-04,2025-11-20,157.56,pago
PAG-000327,CLI-0030,2025-10-05,2025-10-08,157.56,pago
PAG-000328,CLI-0030,2025-09-05,,157.56,pendente
PAG-000329,CLI-0031,2026-08-01,2026-08-05,79.13,pago
PAG-000330,CLI-0031,2026-07-02,2026-07-02,79.13,pago
PAG-000331,CLI-0031,2026-06-02,2026-06-19,79.13,pago
PAG-000332,CLI-0031,2026-05-03,2026-05-16,79.13,pago
PAG-000333,CLI-0031,2026-04-03,2026-03-31,79.13,pago
PAG-000334,CLI-0031,2026-03-04,2026-03-11,79.13,pago
PAG-000335,CLI-0031,2026-02-02,2026-02-17,79.13,pago
PAG-000336,CLI-0031,2026-01-03,2026-01-17,79.13,pago
PAG-000337,CLI-0031,2025-12-04,2025-12-16,79.13,pago
PAG-000338,CLI-0031,2025-11-04,2025-11-03,79.13,pago
PAG-000339,CLI-0032,2026-08-01,2026-08-11,77.7,pago
PAG-000340,CLI-0032,2026-07-02,2026-07-18,77.7,pago
PAG-000341,CLI-0032,2026-06-02,2026-06-08,77.7,pago
PAG-000342,CLI-0032,2026-05-03,2026-05-21,77.7,pago
PAG-000343,CLI-0032,2026-04-03,2026-04-03,77.7,pago
PAG-000344,CLI-0032,2026-03-04,,77.7,pendente
PAG-000345,CLI-0032,2026-02-02,2026-01-30,77.7,pago
PAG-000346,CLI-0032,2026-01-03,2026-01-11,77.7,pago
PAG-000347,CLI-0032,2025-12-04,2025-12-09,77.7,pago
PAG-000348,CLI-0032,2025-11-04,2025-11-05,77.7,pago
PAG-000349,CLI-0032,2025-10-05,2025-10-10,77.7,pago
PAG-000350,CLI-0032,2025-09-05,2025-09-05,77.7,pago
PAG-000351,CLI-0033,2026-08-01,,81.88,pendente
PAG-000352,CLI-0033,2026-07-02,,81.88,pendente
PAG-000353,CLI-0033,2026-06-02,2026-06-03,81.88,pago
PAG-000354,CLI-0033,2026-05-03,2026-05-01,81.88,pago
PAG-000355,CLI-0033,2026-04-03,2026-04-20,81.88,pago
PAG-000356,CLI-0033,2026-03-04,2026-03-11,81.88,pago
PAG-000357,CLI-0033,2026-02-02,2026-02-09,81.88,pago
PAG-000358,CLI-0033,2026-01-03,2026-01-02,81.88,pago
PAG-000359,CLI-0033,2025-12-04,2025-12-04,81.88,pago
PAG-000360,CLI-0033,2025-11-04,2025-11-02,81.88,pago
PAG-000361,CLI-0033,2025-10-05,2025-10-18,81.88,pago
PAG-000362,CLI-0033,2025-09-05,2025-09-14,81.88,pago
PAG-000363,CLI-0034,2026-08-01,2026-07-29,78.74,pago
PAG-000364,CLI-0034,2026-07-02,2026-06-29,78.74,pago
PAG-000365,CLI-0034,2026-06-02,2026-06-11,78.74,pago
PAG-000366,CLI-0034,2026-05-03,2026-05-09,78.74,pago
PAG-000367,CLI-0034,2026-04-03,2026-04-16,78.74,pago
PAG-000368,CLI-0034,2026-03-04,2026-03-14,78.74,pago
PAG-000369,CLI-0034,2026-02-02,2026-01-31,78.74,pago
PAG-000370,CLI-0034,2026-01-03,2026-01-04,78.74,pago
PAG-000371,CLI-0034,2025-12-04,2025-12-03,78.74,pago
PAG-000372,CLI-0034,2025-11-04,2025-11-08,78.74,pago
PAG-000373,CLI-0034,2025-10-05,2025-10-18,78.74,pago
PAG-000374,CLI-0034,2025-09-05,2025-09-13,78.74,pago
PAG-000375,CLI-0035,2026-08-01,2026-08-12,204.12,pago
PAG-000376,CLI-0035,2026-07-02,2026-07-02,204.12,pago
PAG-000377,CLI-0035,2026-06-02,2026-06-05,204.12,pago
PAG-000378,CLI-0035,2026-05-03,2026-05-14,204.12,pago
PAG-000379,CLI-0035,2026-04-03,2026-04-03,204.12,pago
PAG-000380,CLI-0035,2026-03-04,2026-03-22,204.12,pago
PAG-000381,CLI-0036,2026-08-01,,144.35,pendente
PAG-000382,CLI-0036,2026-07-02,2026-07-13,144.35,pago
PAG-000383,CLI-0036,2026-06-02,2026-06-01,144.35,pago
PAG-000384,CLI-0036,2026-05-03,2026-05-10,144.35,pago
PAG-000385,CLI-0036,2026-04-03,,144.35,pendente
PAG-000386,CLI-0036,2026-03-04,2026-03-02,144.35,pago
PAG-000387,CLI-0036,2026-02-02,2026-02-17,144.35,pago
PAG-000388,CLI-0036,2026-01-03,2026-01-12,144.35,pago
PAG-000389,CLI-0036,2025-12-04,2025-12-13,144.35,pago
PAG-000390,CLI-0036,2025-11-04,2025-11-06,144.35,pago
PAG-000391,CLI-0036,2025-10-05,2025-10-07,144.35,pago
PAG-000392,CLI-0036,2025-09-05,2025-09-16,144.35,pago
PAG-000393,CLI-0037,2026-08-01,2026-08-09,115.34,pago
PAG-000394,CLI-0037,2026-07-02,2026-07-14,115.34,pago
PAG-000395,CLI-0037,2026-06-02,2026-06-17,115.34,pago
PAG-000396,CLI-0038,2026-08-01,2026-07-30,286.69,pago
PAG-000397,CLI-0038,2026-07-02,2026-07-06,286.69,pago
PAG-000398,CLI-0038,2026-06-02,2026-05-30,286.69,pago
PAG-000399,CLI-0038,2026-05-03,2026-04-30,286.69,pago
PAG-000400,CLI-0038,2026-04-03,2026-04-19,286.69,pago
PAG-000401,CLI-0038,2026-03-04,2026-03-05,286.69,pago
PAG-000402,CLI-0038,2026-02-02,2026-02-04,286.69,pago
PAG-000403,CLI-0038,2026-01-03,2026-01-10,286.69,pago
