contrato_id,data_concessao,idade,renda_mensal,divida_atual,atrasos_12m,tempo_emprego_meses,valor_solicitado,taxa_juros_mensal,prazo_meses,default_90d
CRD-00067,2025-07-23,32,13671.78,9369.66,0,213,4534.65,4.34,18,0
CRD-00068,2025-04-04,64,3283.59,2991.54,1,128,43313.35,3.65,48,0
CRD-00069,2025-11-10,30,2064.83,2107.96,2,90,39535.68,4.64,36,0
CRD-00070,2023-03-09,35,3160.31,4980.37,1,62,30046.03,4.27,18,0
CRD-00071,2024-05-30,44,11375.78,14096.54,1,115,4386.84,3.58,12,1
CRD-00072,2025-08-16,22,9974.93,13601.14,3,3,7000.05,1.34,18,0
CRD-00073,2024-12-14,66,4673.85,4282.79,0,15,31155.81,2.62,12,0
CRD-00074,2025-11-23,61,12584.58,5836.97,4,218,2391.69,4.44,24,0
CRD-00075,2023-12-04,75,8970.14,10160.86,0,135,24581.66,4.63,48,0
CRD-00076,2023-10-14,18,3648.04,5686.64,0,237,2182.74,1.27,18,0
CRD-00077,2023-12-22,24,1759.62,2150.17,0,195,43669.69,5.44,48,0
CRD-00078,2023-02-17,37,8763.65,9521.12,1,4,40248.71,2.33,36,0
CRD-00079,2025-06-06,36,8496.89,6792.3,1,66,42835.8,1.76,18,0
CRD-00080,2023-06-18,19,15073.85,23211.37,0,67,25682.43,2.92,6,0
CRD-00081,2023-04-07,60,9734.54,7521.02,0,63,7740.73,3.14,18,0
CRD-00082,2025-05-16,54,5120.54,6246.1,0,35,14411.73,2.76,36,0
CRD-00083,2024-03-13,21,15922.71,17017.65,0,208,36640.67,1.36,18,0
CRD-00084,2025-10-21,54,14648.37,5899.61,5,206,21310.46,3.85,12,0
CRD-00085,2023-09-06,61,5734.62,7766.37,0,120,1787.04,4.86,12,0
CRD-00086,2024-06-25,62,2382.52,2008.63,2,74,11631.7,2.19,24,0
CRD-00087,2025-08-30,33,14938.8,2990.61,2,43,21296.27,3.72,18,0
CRD-00088,2025-02-19,48,5417.75,6644.0,0,187,38055.11,2.66,18,0
CRD-00089,2024-10-07,59,1870.35,2449.04,5,177,15412.68,2.77,48,1
CRD-00090,2023-02-25,19,3970.27,958.35,3,67,5627.56,1.39,24,0
CRD-00091,2023-03-09,26,1592.23,332.48,2,167,26571.15,1.33,12,0
CRD-00092,2025-06-15,33,2651.43,2906.21,0,166,39015.73,4.55,48,0
CRD-00093,2023-09-03,44,13918.4,18306.43,1,172,6815.14,4.51,6,0
CRD-00094,2023-10-18,62,17391.12,9297.96,2,147,32421.68,2.47,6,0
CRD-00095,2024-10-10,27,10263.38,14051.37,0,54,20185.6,4.51,24,0
CRD-00096,2026-04-03,60,10197.46,11887.66,1,16,24396.5,2.29,18,0
CRD-00097,2024-04-16,50,17460.28,5824.88,0,50,16152.31,2.73,6,0
CRD-00098,2025-11-06,39,12914.83,19642.93,2,161,15530.07,3.94,6,0
CRD-00099,2026-04-14,75,16772.55,13729.14,0,128,32450.36,3.34,48,0
CRD-00100,2023-09-27,35,15033.24,19586.17,0,202,35715.02,2.4,48,0
CRD-00101,2025-03-10,55,13040.45,10603.56,0,74,35214.34,2.3,12,0
CRD-00102,2025-12-25,26,1963.14,1397.88,2,13,20016.44,2.8,24,0
CRD-00103,2024-03-01,55,6341.01,4586.48,5,172,21020.37,4.65,12,0
CRD-00104,2025-02-16,24,14433.61,18967.8,1,232,29600.15,2.38,12,1
CRD-00105,2024-12-26,56,3413.3,4857.9,0,120,7746.47,2.69,24,0
CRD-00106,2024-03-31,58,2122.49,2592.16,0,214,44630.59,4.86,48,0
CRD-00107,2023-08-02,36,5597.68,549.56,1,102,42887.2,2.69,12,0
CRD-00108,2024-04-18,62,3464.63,2290.38,0,34,17230.6,3.96,36,0
CRD-00109,2023-11-13,54,6332.64,6932.21,1,240,24277.44,5.27,18,0
CRD-00110,2024-06-25,64,3977.88,5900.0,0,202,38421.42,3.7,18,0
CRD-00111,2024-12-26,64,6979.65,8986.85,1,192,40396.61,4.23,36,0
CRD-00112,2024-08-12,73,15939.05,5078.44,2,186,5626.4,4.22,48,0
CRD-00113,2024-07-27,28,14696.93,10745.6,0,59,6666.35,1.74,12,0
CRD-00114,2025-08-03,70,11355.04,4240.38,3,235,6516.91,2.8,18,0
CRD-00115,2024-11-19,24,13194.17,16334.26,0,11,13094.89,5.16,6,0
CRD-00116,2023-10-06,69,4111.95,2613.34,0,32,43445.22,2.64,12,0
CRD-00117,2024-11-24,28,10229.49,10074.07,0,199,29523.34,4.09,36,0
CRD-00118,2024-07-12,57,17623.23,26759.6,0,239,40576.46,3.26,12,0
CRD-00119,2025-07-24,68,6684.54,3079.85,4,59,37040.44,5.48,12,0
CRD-00120,2023-06-13,40,13276.5,11365.29,0,108,34822.36,3.65,6,0
CRD-00121,2024-02-01,58,2081.67,549.2,0,113,34241.29,1.4,18,0
CRD-00122,2024-12-04,49,17232.4,19476.19,0,225,25960.89,4.56,6,0
CRD-00123,2026-03-08,22,7395.79,4456.22,0,7,16539.46,1.12,36,0
CRD-00124,2024-04-22,72,8922.72,865.48,2,93,3086.89,3.84,12,0
CRD-00125,2023-06-25,51,3150.48,793.22,0,50,40097.7,2.31,18,0
CRD-00126,2025-02-03,71,2257.74,3537.86,0,177,20860.99,5.11,48,0
CRD-00127,2023-11-05,53,1844.89,519.4,1,5,811.43,1.36,48,0
CRD-00128,2024-07-25,33,11829.04,2157.11,0,193,6158.75,3.67,36,0
CRD-00129,2023-06-04,69,17933.04,20345.0,1,198,2470.88,2.13,36,0
CRD-00130,2025-01-08,57,16455.09,23616.16,0,119,42616.57,1.61,6,0
CRD-00131,2025-06-07,74,4681.83,1660.87,2,142,24039.25,1.35,36,0
CRD-00132,2023-09-07,19,6097.96,938.53,0,44,42999.67,4.33,6,0
CRD-00133,2025-09-19,61,8765.45,8933.52,0,167,16250.05,4.18,36,0
CRD-00134,2023-03-30,71,7012.2,11120.52,1,148,34085.11,2.44,24,0
CRD-00135,2023-12-31,39,4321.19,1877.85,0,75,30730.23,1.66,6,0
CRD-00136,2024-04-07,35,10366.93,2524.37,2,35,2539.72,4.59,48,0
CRD-00137,2025-09-24,34,6777.61,821.97,4,67,40874.59,1.74,48,0
CRD-00138,2025-05-21,63,4610.09,2344.86,3,220,26170.55,2.36,24,0
CRD-00139,2025-05-09,65,8855.6,13738.67,0,229,30802.27,4.06,48,0
CRD-00140,2023-06-26,59,16312.97,24758.46,1,115,12766.4,1.43,24,1
CRD-00141,2026-03-31,57,8998.32,2559.27,0,24,23076.96,3.85,18,0
CRD-00142,2023-08-13,35,4996.0,3910.37,0,41,13120.29,2.04,18,0
CRD-00143,2025-06-17,35,12618.09,12319.49,5,238,40308.31,5.42,24,0
CRD-00144,2025-11-08,41,1445.53,160.28,1,52,17992.84,1.4,24,0
CRD-00145,2023-04-13,67,14453.71,4720.19,0,179,40702.28,1.71,12,0
CRD-00146,2023-08-30,42,12492.62,18991.93,0,54,43404.38,4.52,24,0
CRD-00147,2024-11-30,50,17837.73,28236.44,0,64,1014.8,3.53,36,0
CRD-00148,2025-03-06,18,7192.18,6903.17,0,37,31989.26,1.9,36,0
CRD-00149,2026-01-06,59,10358.23,12141.55,0,224,15547.08,3.26,36,0
CRD-00150,2024-05-18,43,2166.55,3311.1,0,231,41023.81,1.42,18,0
CRD-00151,2025-06-27,69,12260.32,2988.64,0,112,33166.61,3.46,24,0
CRD-00152,2024-07-11,24,14951.69,1387.52,0,12,19637.61,1.21,18,0
CRD-00153,2023-06-12,60,14467.18,6273.79,0,14,35449.89,4.33,24,0
CRD-00154,2025-02-20,62,17864.43,25585.3,0,100,25544.02,1.46,24,0
CRD-00155,2024-09-08,65,8648.61,12161.92,4,229,21928.01,3.26,18,0
CRD-00156,2026-01-09,37,5632.45,3552.48,0,110,6189.71,1.76,6,0
CRD-00157,2025-10-27,29,5949.29,4807.03,0,60,28547.32,2.2,24,0
CRD-00158,2024-03-24,55,4840.18,2179.39,1,22,28778.29,1.7,36,0
CRD-00159,2025-08-02,25,16291.09,21449.53,0,81,25692.86,1.2,12,0
CRD-00160,2024-06-13,40,15695.35,4156.9,1,75,32552.16,5.27,24,0
CRD-00161,2025-08-09,42,8926.1,11446.44,0,213,37381.17,2.27,24,0
CRD-00162,2023-07-22,70,1517.3,818.22,1,215,10995.76,1.47,48,0
CRD-00163,2025-07-10,43,6547.94,4794.83,0,236,35581.44,4.04,18,0
CRD-00164,2023-04-06,26,14952.6,17424.92,0,221,11925.49,5.38,6,0
CRD-00165,2024-11-05,29,9702.22,11574.34,0,165,6973.78,3.02,6,0
CRD-00166,2026-02-17,27,9550.79,1395.71,1,138,23757.81,3.43,24,0
CRD-00167,2026-02-08,20,7385.84,8845.44,0,2,19855.71,4.12,24,0
CRD-00168,2025-12-13,61,16180.83,5076.9,3,120,35436.73,2.12,18,0
CRD-00169,2024-02-19,33,1976.04,1262.39,0,79,19137.94,5.32,12,0
CRD-00170,2026-03-06,33,14681.67,2730.29,0,50,4732.12,4.16,12,0
CRD-00171,2023-02-13,34,15025.24,21637.83,0,29,36202.93,3.34,36,0
CRD-00172,2023-11-11,24,10227.5,5951.02,0,96,6697.59,2.37,18,0
CRD-00173,2025-12-07,22,2642.01,921.87,1,240,11980.46,3.1,24,0
CRD-00174,2024-05-09,43,17296.92,24449.66,0,129,20967.43,5.17,24,0
CRD-00175,2026-01-16,54,16570.2,11924.59,3,169,44425.75,4.65,18,0
CRD-00176,2023-10-16,61,13195.81,15888.44,0,65,3818.5,3.97,24,0
CRD-00177,2025-06-04,73,16405.7,18429.77,1,192,26575.42,1.59,24,0
CRD-00178,2025-03-16,61,16908.91,8878.94,0,181,42744.82,3.7,36,0
CRD-00179,2025-07-26,48,6113.69,4395.76,3,215,5967.98,5.35,36,0
CRD-00180,2025-10-09,56,13466.3,13326.44,5,24,36719.26,1.12,6,0
CRD-00181,2023-01-19,60,12682.61,20229.43,0,185,33561.3,4.9,24,0
CRD-00182,2026-03-17,35,4036.83,5927.74,0,221,36232.99,3.9,18,1
CRD-00183,2024-01-10,24,13534.76,8705.16,3,209,44391.07,2.29,24,0
CRD-00184,2024-12-23,27,6987.26,4768.48,1,61,27391.85,5.44,18,1
CRD-00185,2024-07-20,21,4530.94,1149.9,0,62,30572.97,1.5,48,1
CRD-00186,2024-07-14,21,9608.97,5147.74,3,194,24095.74,2.35,12,0
CRD-00187,2023-01-30,65,16076.81,13991.49,0,89,2977.75,2.33,36,0
CRD-00188,2026-03-03,47,4925.15,6865.83,4,132,3191.57,3.67,6,0
CRD-00189,2023-01-25,24,3719.25,1741.49,0,202,9737.76,1.21,48,0
CRD-00190,2025-09-28,59,10650.55,4422.05,0,177,11475.46,5.19,12,0
CRD-00191,2025-01-01,32,9526.01,5712.07,0,102,3667.32,1.66,18,0
CRD-00192,2025-03-08,24,6720.14,6142.18,0,120,42242.34,1.89,18,0
CRD-00193,2024-06-29,63,16195.83,7011.95,0,198,26307.85,4.93,6,0
CRD-00194,2024-06-05,32,15215.66,23442.24,0,240,29161.74,2.01,48,0
CRD-00195,2024-11-07,75,5542.71,711.33,0,159,38576.77,3.47,18,0
CRD-00196,2023-09-27,56,14885.11,11660.83,0,227,37584.72,1.41,6,0
CRD-00197,2024-05-11,68,5069.39,7474.24,1,29,7343.29,3.04,18,0
CRD-00198,2023-07-03,61,6629.97,7195.73,0,74,36250.22,1.47,12,0
CRD-00199,2024-10-28,20,17718.2,1808.58,4,101,38651.77,4.28,6,0
CRD-00200,2024-08-17,70,13304.55,17867.32,0,65,39543.61,2.83,12,0
CRD-00201,2023-01-16,47,13829.23,12768.69,2,151,4906.39,1.75,48,0
CRD-00202,2023-11-18,21,3894.09,5746.76,4,102,32526.9,2.15,48,0
CRD-00203,2023-04-26,31,9820.7,13924.55,0,140,14926.66,3.22,12,0
CRD-00204,2025-05-16,26,10370.76,6500.46,0,12,26789.67,5.06,18,0
CRD-00205,2024-08-03,53,9940.35,13754.7,1,122,41986.76,4.99,24,0
CRD-00206,2024-07-15,58,3401.89,1043.81,1,119,29716.64,2.16,12,0
CRD-00207,2025-04-26,51,5055.64,5830.13,3,91,29464.02,5.38,18,0
CRD-00208,2023-09-05,49,16975.36,21141.08,0,192,18958.18,1.98,12,0
CRD-00209,2025-10-20,61,6605.46,10447.01,0,132,16997.13,4.57,24,0
CRD-00210,2023-01-26,58,7358.99,9687.15,0,149,18850.75,4.57,12,1
CRD-00211,2024-07-11,58,13108.63,9752.04,0,47,25966.11,2.84,12,0
CRD-00212,2024-06-27,48,2865.38,2647.98,0,228,6452.39,1.51,36,0
CRD-00213,2025-04-26,22,11922.7,16104.32,0,165,6566.41,3.23,18,1
CRD-00214,2026-01-21,68,3789.1,2712.8,0,48,28152.18,3.18,24,0
CRD-00215,2023-11-01,60,3977.24,3838.13,0,5,28201.07,1.98,12,0
CRD-00216,2024-09-17,75,11461.44,3525.58,1,9,4643.16,5.45,12,0
CRD-00217,2024-11-03,21,10646.07,954.36,2,174,29371.38,3.7,36,0
CRD-00218,2025-07-26,19,9166.11,13725.69,1,169,13797.36,3.29,6,0
CRD-00219,2025-02-11,62,17184.67,12533.94,0,78,18446.35,5.41,36,0
CRD-00220,2024-03-06,50,5084.88,7578.46,2,175,43574.78,3.89,12,0
CRD-00221,2024-01-06,58,15988.02,19221.99,4,5,24198.49,2.58,24,1
CRD-00222,2024-03-07,67,4141.78,3267.54,0,98,25797.99,4.84,12,0
CRD-00223,2025-04-25,70,6834.75,8121.96,0,63,28734.72,2.44,48,0
CRD-00224,2024-01-30,61,11455.26,3513.93,5,187,30945.45,3.16,12,0
CRD-00225,2024-12-24,37,5605.03,2464.41,3,111,19195.49,1.56,36,0
CRD-00226,2025-10-25,42,13499.2,8758.54,1,97,39257.93,2.84,48,0
CRD-00227,2024-05-28,34,13787.08,15549.97,4,158,43540.03,2.3,6,0
CRD-00228,2023-06-20,45,13914.93,15365.98,2,167,30671.93,3.84,36,0
CRD-00229,2026-02-23,32,13140.79,9152.38,0,171,14046.55,1.31,48,0
CRD-00230,2024-01-26,44,12285.85,17159.42,1,140,2022.54,2.84,36,0
CRD-00231,2024-05-22,57,2530.74,656.96,3,236,9794.31,5.35,36,0
CRD-00232,2023-06-07,24,14797.08,2828.33,1,41,7869.48,4.62,36,0
CRD-00233,2023-11-08,30,14088.74,4643.51,0,40,11428.34,1.54,12,0
CRD-00234,2023-01-10,29,14907.23,9871.8,2,56,30806.91,2.38,6,0
CRD-00235,2024-01-19,25,4188.16,504.79,0,141,27090.35,2.98,12,0
CRD-00236,2025-09-22,43,11732.26,11577.54,3,63,5117.6,4.5,36,0
CRD-00237,2023-06-12,42,12978.3,925.34,1,177,5449.79,3.66,18,0
CRD-00238,2025-12-20,31,15392.06,21849.66,3,45,42304.29,4.84,36,1
CRD-00239,2024-09-15,25,16500.53,13125.96,0,19,14617.63,4.26,6,0
CRD-00240,2025-09-15,29,9122.26,9312.48,3,177,25218.27,1.15,6,1
CRD-00241,2023-01-20,52,15406.52,2041.43,1,169,44613.85,4.26,48,0
CRD-00242,2023-08-20,61,4754.95,4859.58,1,30,8699.48,2.0,6,0
CRD-00243,2026-01-23,61,1815.12,2513.46,3,55,8665.32,4.17,48,1
CRD-00244,2023-03-29,23,13918.57,4728.12,0,42,16753.81,3.98,12,0
CRD-00245,2024-03-16,42,3254.27,2365.24,1,186,13623.9,3.43,24,0
CRD-00246,2025-06-05,47,12681.91,2629.55,2,103,20510.29,1.59,48,0
CRD-00247,2024-01-22,73,10314.49,12296.16,4,2,8734.71,1.52,18,0
CRD-00248,2026-03-20,48,13916.61,10021.08,0,5,8341.94,1.28,48,0
CRD-00249,2023-01-25,30,14794.87,22360.55,0,220,1823.49,5.26,6,0
CRD-00250,2024-10-16,34,11498.35,5583.24,0,171,15948.12,3.07,36,1
CRD-00251,2025-10-13,45,6710.51,6032.82,0,126,20538.88,2.12,24,0
CRD-00252,2025-07-09,60,11525.53,1460.77,0,168,32892.61,5.48,18,0
CRD-00253,2023-06-22,28,15190.91,8759.09,0,83,15283.15,5.04,24,0
CRD-00254,2024-01-19,25,4172.17,4355.43,5,63,41899.25,1.71,48,0
CRD-00255,2024-01-31,45,10482.58,4362.85,0,28,4777.6,1.79,12,0
CRD-00256,2024-01-02,43,15507.21,13614.61,0,159,27166.98,2.7,18,0
CRD-00257,2023-06-09,47,2465.98,2701.07,1,213,12873.9,5.28,6,0
CRD-00258,2025-11-10,30,12493.67,5882.65,0,208,38715.08,3.59,48,0
CRD-00259,2023-02-21,37,12312.24,3736.37,4,204,12054.05,1.35,36,0
CRD-00260,2023-09-12,66,12766.68,19240.05,1,169,23837.73,3.64,18,1
CRD-00261,2025-05-02,55,15027.71,8560.77,0,204,31527.96,3.14,18,0
CRD-00262,2023-07-13,37,3545.49,3279.46,2,25,22190.11,3.6,18,0
CRD-00263,2023-11-09,53,2646.68,3822.39,3,120,34320.5,1.28,6,0
CRD-00264,2025-06-20,26,5576.27,8793.9,4,79,20783.53,4.95,18,0
CRD-00265,2024-01-09,51,15709.83,18525.33,0,235,16416.45,3.69,36,0
CRD-00266,2023-12-18,74,10623.44,13438.15,0,129,22849.21,5.41,12,0
CRD-00267,2024-06-06,70,4968.34,5829.69,2,229,31053.2,1.17,36,1
CRD-00268,2024-09-23,36,5428.46,4503.97,1,51,32352.94,4.62,36,0
CRD-00269,2025-03-15,40,6147.56,1596.76,0,150,25429.86,2.5,12,0
CRD-00270,2023-12-07,27,13187.87,12981.56,1,142,19200.81,3.1,24,0
CRD-00271,2023-01-07,58,5532.21,8622.67,3,213,11172.6,2.47,12,0
CRD-00272,2024-06-20,26,2338.25,495.14,0,63,12741.5,1.36,6,0
CRD-00273,2025-05-01,28,7615.02,8521.63,0,177,44334.75,1.88,36,0
CRD-00274,2024-06-29,69,10639.64,3532.56,0,94,21104.16,2.35,48,0
CRD-00275,2023-10-29,24,3345.41,4874.36,1,79,9789.65,4.93,24,1
CRD-00276,2023-12-08,23,7036.26,10051.88,0,146,15494.28,3.92,48,0
CRD-00277,2025-11-01,41,10599.94,12336.41,0,161,34757.77,2.77,6,0
CRD-00278,2023-12-22,60,4079.57,907.41,5,105,12871.49,3.26,24,0
CRD-00279,2024-02-23,59,6185.34,5933.51,3,114,8470.0,3.04,36,0
CRD-00280,2024-05-06,21,11664.13,16531.99,0,166,25990.44,1.62,24,0
CRD-00281,2024-07-23,54,6647.0,1560.75,0,167,4128.01,3.43,12,0
CRD-00282,2024-06-16,30,16628.86,23969.03,0,120,36724.3,3.55,6,0
CRD-00283,2024-05-03,52,1826.8,1516.09,0,104,44102.4,5.08,48,0
CRD-00284,2023-05-26,58,12697.2,19891.97,4,79,9886.99,1.31,24,0
CRD-00285,2025-04-26,46,1619.89,1137.35,2,100,5849.05,1.22,18,0
CRD-00286,2025-10-02,62,11478.46,16247.48,0,220,35974.42,3.38,48,0
CRD-00287,2024-12-17,24,2013.77,1156.22,0,218,34955.25,3.03,6,0
CRD-00288,2024-06-04,29,16346.51,8885.19,0,49,4397.73,1.29,24,0
CRD-00289,2025-11-13,58,4139.95,6164.19,1,107,35682.75,5.33,12,0
CRD-00290,2026-01-27,41,3272.81,1039.48,1,228,4333.72,4.39,6,0
CRD-00291,2025-07-16,34,15517.75,15651.82,2,159,27519.38,3.9,12,0
CRD-00292,2024-06-11,59,1938.18,282.13,0,22,13099.29,2.29,24,0
CRD-00293,2024-12-25,28,5099.11,4114.59,0,217,24370.1,2.96,36,0
CRD-00294,2024-10-24,62,13096.87,17769.02,2,182,39127.6,2.3,24,0
CRD-00295,2024-04-15,38,4941.45,6018.48,0,196,27709.15,1.85,24,1
CRD-00296,2025-03-09,19,9332.48,7254.18,3,165,24431.18,4.76,24,0
CRD-00297,2026-01-01,18,6577.26,6708.07,0,151,10454.08,2.3,18,0
CRD-00298,2023-02-22,51,14967.31,6081.55,0,61,15872.21,4.66,18,0
CRD-00299,2025-05-08,37,14140.48,14573.8,1,99,19608.64,1.17,48,0
CRD-00300,2023-12-18,23,9168.85,13494.13,0,125,15238.08,1.46,36,1
CRD-00301,2023-08-01,74,6230.0,4071.93,1,98,14537.43,3.98,12,0
CRD-00302,2024-04-24,41,15586.45,9119.79,0,129,16227.56,4.56,12,0
CRD-00303,2024-11-08,46,6983.68,9020.89,1,121,34961.41,4.46,48,1
CRD-00304,2024-04-02,73,16248.86,24012.23,4,199,35013.81,3.12,18,0
CRD-00305,2023-06-05,39,10698.17,12962.98,2,187,41485.43,1.78,48,0
CRD-00306,2025-10-04,67,10543.44,5273.64,0,152,38180.03,1.33,12,0
CRD-00307,2026-02-26,72,15544.86,21303.81,1,163,40923.83,3.83,24,0
CRD-00308,2026-04-12,54,6840.74,2060.9,2,102,22738.72,4.09,36,0
CRD-00309,2023-01-02,34,2275.41,326.16,0,133,15802.32,1.27,6,0
CRD-00310,2024-10-17,38,7085.31,8201.05,4,73,7142.8,3.58,12,0
CRD-00311,2025-09-14,33,15296.8,13647.87,0,52,30666.6,3.78,18,0
CRD-00312,2023-02-14,50,4073.01,1998.61,0,34,32757.31,4.39,18,0
CRD-00313,2025-12-15,51,3736.24,2490.96,0,68,39923.36,1.44,24,0
CRD-00314,2024-01-22,62,4535.0,1238.42,0,98,40665.49,5.49,36,0
CRD-00315,2025-02-26,33,2081.71,434.53,4,17,22058.57,4.64,12,1
CRD-00316,2024-07-30,59,17757.9,21200.75,1,16,23103.47,2.74,18,1
CRD-00317,2024-02-12,48,5546.7,5888.78,3,14,30191.69,4.08,36,1
CRD-00318,2025-04-30,64,10368.77,12269.36,1,18,2188.55,2.16,24,0
CRD-00319,2025-07-23,40,9677.93,7349.54,0,62,38516.38,2.61,18,0
CRD-00320,2024-11-08,62,6360.0,6405.12,0,65,40558.53,3.32,18,0
CRD-00321,2024-02-23,41,4753.9,5922.66,2,28,40657.02,1.71,12,0
CRD-00322,2024-01-22,74,5301.65,670.34,1,193,6780.0,4.14,6,0
